ibin	Eff	Err
0	0.9542	0.0004	
1	0.9791	0.0004	
2	0.9649	0.0003	
3	0.9235	0.0008	
4	0.9569	0.0002	
5	0.9815	0.0003	
6	0.9674	0.0002	
7	0.9306	0.0005	
8	0.9580	0.0002	
9	0.9816	0.0002	
10	0.9684	0.0001	
11	0.9341	0.0004	
12	0.9582	0.0001	
13	0.9820	0.0001	
14	0.9693	0.0001	
15	0.9355	0.0003	
16	0.9579	0.0001	
17	0.9817	0.0001	
18	0.9698	0.0001	
19	0.9355	0.0002	
20	0.9567	0.0000	
21	0.9814	0.0001	
22	0.9706	0.0000	
23	0.9353	0.0001	
24	0.9549	0.0001	
25	0.9802	0.0001	
26	0.9709	0.0001	
27	0.9345	0.0003	
28	0.9490	0.0005	
29	0.9753	0.0006	
30	0.9708	0.0004	
31	0.9281	0.0017	
