ibin	Eff	Err
0	0.8383	0.0000	
1	0.8417	0.0000	
2	0.8255	0.0000	
3	0.7744	0.0000	
4	0.8774	0.0000	
5	0.8801	0.0000	
6	0.8581	0.0000	
7	0.8073	0.0000	
8	0.8984	0.0000	
9	0.8958	0.0000	
10	0.8821	0.0000	
11	0.8296	0.0000	
12	0.9197	0.0000	
13	0.9125	0.0000	
14	0.9034	0.0000	
15	0.8572	0.0000	
16	0.9503	0.0000	
17	0.9408	0.0000	
18	0.9277	0.0000	
19	0.8801	0.0000	
20	0.9693	0.0000	
21	0.9639	0.0000	
22	0.9483	0.0000	
23	0.8991	0.0000	
24	0.9729	0.0000	
25	0.9674	0.0000	
26	0.9537	0.0000	
27	0.9069	0.0000	
28	0.9748	0.0000	
29	0.9686	0.0000	
30	0.9562	0.0000	
31	0.9180	0.0000	
32	0.9764	0.0000	
33	0.9698	0.0000	
34	0.9575	0.0000	
35	0.9275	0.0000	
