ibin	Eff	Err
0	0.8027	0.0014	
1	0.8104	0.0037	
2	0.8145	0.0016	
3	0.7571	0.0030	
4	0.8383	0.0007	
5	0.8478	0.0020	
6	0.8425	0.0011	
7	0.7798	0.0019	
8	0.8600	0.0007	
9	0.8638	0.0014	
10	0.8586	0.0007	
11	0.7969	0.0014	
12	0.8905	0.0004	
13	0.8823	0.0009	
14	0.8785	0.0005	
15	0.8182	0.0006	
16	0.9347	0.0001	
17	0.9241	0.0005	
18	0.9094	0.0002	
19	0.8477	0.0006	
20	0.9577	0.0001	
21	0.9521	0.0007	
22	0.9336	0.0001	
23	0.8686	0.0004	
24	0.9624	0.0002	
25	0.9560	0.0004	
26	0.9392	0.0003	
27	0.8812	0.0008	
28	0.9641	0.0003	
29	0.9568	0.0007	
30	0.9402	0.0005	
31	0.8858	0.0015	
32	0.9633	0.0025	
33	0.9540	0.0052	
34	0.9379	0.0038	
35	0.8758	0.0157	
