ibin	Eff	Err
0	0.0000	0.0000	
1	0.0001	0.0000	
2	0.0001	0.0000	
3	0.0002	0.0000	
4	0.0001	0.0000	
5	0.0008	0.0001	
6	0.0019	0.0001	
7	0.0021	0.0002	
8	0.5105	0.0008	
9	0.5175	0.0014	
10	0.5112	0.0008	
11	0.4931	0.0014	
12	0.9489	0.0003	
13	0.9697	0.0004	
14	0.9611	0.0003	
15	0.9288	0.0007	
16	0.9504	0.0001	
17	0.9709	0.0002	
18	0.9646	0.0001	
19	0.9357	0.0003	
20	0.9511	0.0001	
21	0.9715	0.0001	
22	0.9654	0.0001	
23	0.9376	0.0002	
24	0.9507	0.0000	
25	0.9717	0.0001	
26	0.9663	0.0000	
27	0.9379	0.0001	
28	0.9496	0.0000	
29	0.9714	0.0001	
30	0.9676	0.0000	
31	0.9380	0.0001	
32	0.9465	0.0001	
33	0.9684	0.0001	
34	0.9675	0.0001	
35	0.9372	0.0002	
36	0.9394	0.0004	
37	0.9605	0.0006	
38	0.9667	0.0004	
39	0.9302	0.0013	
