ibin	Eff	Err
0	0.8125	0.0007	
1	0.8324	0.0013	
2	0.8409	0.0010	
3	0.7996	0.0020	
4	0.8496	0.0007	
5	0.8600	0.0011	
6	0.8673	0.0003	
7	0.8259	0.0014	
8	0.8784	0.0004	
9	0.8807	0.0008	
10	0.8887	0.0005	
11	0.8475	0.0006	
12	0.9120	0.0010	
13	0.9101	0.0011	
14	0.9142	0.0008	
15	0.8739	0.0023	
16	0.9486	0.0001	
17	0.9457	0.0002	
18	0.9414	0.0001	
19	0.8930	0.0004	
20	0.9691	0.0001	
21	0.9707	0.0001	
22	0.9609	0.0001	
23	0.9066	0.0003	
24	0.9712	0.0001	
25	0.9715	0.0003	
26	0.9611	0.0002	
27	0.9013	0.0008	
28	0.9713	0.0002	
29	0.9695	0.0004	
30	0.9577	0.0003	
31	0.9020	0.0010	
32	0.9720	0.0011	
33	0.9634	0.0017	
34	0.9555	0.0013	
35	0.9140	0.0062	
