ibin	Eff	Err
0	0.8418	0.0017	
1	0.8552	0.0021	
2	0.8622	0.0011	
3	0.8137	0.0022	
4	0.8691	0.0009	
5	0.8807	0.0014	
6	0.8854	0.0008	
7	0.8395	0.0015	
8	0.8881	0.0004	
9	0.8971	0.0009	
10	0.9043	0.0005	
11	0.8607	0.0011	
12	0.9175	0.0003	
13	0.9172	0.0006	
14	0.9229	0.0003	
15	0.8835	0.0009	
16	0.9515	0.0002	
17	0.9498	0.0002	
18	0.9469	0.0001	
19	0.9005	0.0004	
20	0.9713	0.0001	
21	0.9731	0.0003	
22	0.9646	0.0001	
23	0.9132	0.0003	
24	0.9734	0.0001	
25	0.9742	0.0003	
26	0.9650	0.0002	
27	0.9075	0.0007	
28	0.9740	0.0002	
29	0.9729	0.0005	
30	0.9633	0.0003	
31	0.9086	0.0012	
32	0.9745	0.0017	
33	0.9694	0.0030	
34	0.9639	0.0045	
35	0.9188	0.0115	
