ibin	Eff	Err
0	0.7877	0.0011	
1	0.7871	0.0024	
2	0.7929	0.0012	
3	0.7519	0.0024	
4	0.8240	0.0010	
5	0.8265	0.0010	
6	0.8182	0.0008	
7	0.7727	0.0016	
8	0.8572	0.0006	
9	0.8518	0.0009	
10	0.8419	0.0006	
11	0.7944	0.0011	
12	0.8935	0.0003	
13	0.8774	0.0005	
14	0.8686	0.0004	
15	0.8206	0.0008	
16	0.9368	0.0001	
17	0.9190	0.0002	
18	0.9040	0.0001	
19	0.8504	0.0004	
20	0.9607	0.0001	
21	0.9497	0.0002	
22	0.9309	0.0001	
23	0.8708	0.0005	
24	0.9647	0.0001	
25	0.9548	0.0004	
26	0.9367	0.0002	
27	0.8790	0.0007	
28	0.9684	0.0002	
29	0.9571	0.0005	
30	0.9378	0.0004	
31	0.8789	0.0013	
32	0.9720	0.0014	
33	0.9523	0.0030	
34	0.9367	0.0030	
35	0.9007	0.0134	
