ibin	Eff	Err
0	0.8386	0.0023	
1	0.8438	0.0048	
2	0.8518	0.0020	
3	0.7971	0.0048	
4	0.8627	0.0011	
5	0.8661	0.0030	
6	0.8673	0.0015	
7	0.8156	0.0028	
8	0.8804	0.0006	
9	0.8766	0.0032	
10	0.8823	0.0006	
11	0.8316	0.0019	
12	0.9096	0.0003	
13	0.9033	0.0011	
14	0.9051	0.0007	
15	0.8510	0.0022	
16	0.9438	0.0002	
17	0.9390	0.0004	
18	0.9324	0.0003	
19	0.8736	0.0007	
20	0.9644	0.0002	
21	0.9632	0.0003	
22	0.9529	0.0002	
23	0.8866	0.0006	
24	0.9653	0.0004	
25	0.9636	0.0006	
26	0.9518	0.0004	
27	0.8851	0.0014	
28	0.9662	0.0005	
29	0.9629	0.0008	
30	0.9520	0.0007	
31	0.8960	0.0024	
32	0.9646	0.0039	
33	0.9626	0.0078	
34	0.9430	0.0054	
35	0.8907	0.0257	
