ibin	Eff	Err
0	0.8114	0.0007	
1	0.8170	0.0016	
2	0.8066	0.0007	
3	0.7519	0.0013	
4	0.8509	0.0003	
5	0.8542	0.0009	
6	0.8368	0.0005	
7	0.7834	0.0008	
8	0.8781	0.0002	
9	0.8744	0.0003	
10	0.8616	0.0003	
11	0.8070	0.0006	
12	0.9081	0.0001	
13	0.8960	0.0002	
14	0.8859	0.0002	
15	0.8355	0.0002	
16	0.9451	0.0001	
17	0.9321	0.0001	
18	0.9167	0.0002	
19	0.8632	0.0002	
20	0.9667	0.0001	
21	0.9596	0.0000	
22	0.9417	0.0002	
23	0.8857	0.0007	
24	0.9700	0.0001	
25	0.9631	0.0002	
26	0.9469	0.0001	
27	0.8935	0.0004	
28	0.9725	0.0001	
29	0.9646	0.0003	
30	0.9493	0.0002	
31	0.9038	0.0006	
32	0.9755	0.0009	
33	0.9637	0.0019	
34	0.9503	0.0016	
35	0.9233	0.0080	
