# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second jet
XLabel=$p_\perp(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~2})$ [pb/GeV]
LogX=1
XMin=20.0
DrawOnly=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_2 //u/user/choij/tmp_0x7f9118e7a1c0/MG299.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_2
LegendOnly=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_2 //u/user/choij/tmp_0x7f9118e7a1c0/MG299.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_2
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_2[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_2[isr_x2xg_murfac=2.0]
ScaledBy=9.90718721677323265e-07
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.113566e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.113566e+01	1.240029e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240029e+01	1.380853e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.380853e+01	1.537671e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.537671e+01	1.712297e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.712297e+01	1.906756e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.906756e+01	2.123298e+01	7.843005e+01	1.088636e+00	1.088636e+00
2.123298e+01	2.364431e+01	1.378386e+02	1.379653e+00	1.379653e+00
2.364431e+01	2.632950e+01	1.392744e+02	1.328163e+00	1.328163e+00
2.632950e+01	2.931963e+01	1.383906e+02	1.287872e+00	1.287872e+00
2.931963e+01	3.264933e+01	1.437676e+02	1.272277e+00	1.272277e+00
3.264933e+01	3.635717e+01	1.548792e+02	1.253198e+00	1.253198e+00
3.635717e+01	4.048610e+01	1.648989e+02	1.212040e+00	1.212040e+00
4.048610e+01	4.508393e+01	1.670108e+02	1.142092e+00	1.142092e+00
4.508393e+01	5.020392e+01	7.082190e+01	7.490772e-01	7.490772e-01
5.020392e+01	5.590536e+01	2.178090e+01	4.577990e-01	4.577990e-01
5.590536e+01	6.225429e+01	1.358596e+01	3.521355e-01	3.521355e-01
6.225429e+01	6.932425e+01	9.684735e+00	2.807972e-01	2.807972e-01
6.932425e+01	7.719710e+01	6.181759e+00	2.192016e-01	2.192016e-01
7.719710e+01	8.596404e+01	4.484594e+00	1.726239e-01	1.726239e-01
8.596404e+01	9.572661e+01	2.762633e+00	1.336366e-01	1.336366e-01
9.572661e+01	1.065979e+02	1.906789e+00	1.018812e-01	1.018812e-01
1.065979e+02	1.187037e+02	1.313355e+00	7.872635e-02	7.872635e-02
1.187037e+02	1.321844e+02	7.757416e-01	5.909389e-02	5.909389e-02
1.321844e+02	1.471960e+02	5.938982e-01	4.657018e-02	4.657018e-02
1.471960e+02	1.639124e+02	3.622543e-01	3.402462e-02	3.402462e-02
1.639124e+02	1.825273e+02	2.364382e-01	2.543945e-02	2.543945e-02
1.825273e+02	2.032561e+02	1.100097e-01	1.850580e-02	1.850580e-02
2.032561e+02	2.263390e+02	9.008751e-02	1.375493e-02	1.375493e-02
2.263390e+02	2.520434e+02	4.195741e-02	9.899359e-03	9.899359e-03
2.520434e+02	2.806668e+02	2.429384e-02	7.753889e-03	7.753889e-03
2.806668e+02	3.125410e+02	2.027045e-02	6.064363e-03	6.064363e-03
3.125410e+02	3.480349e+02	9.114411e-03	4.063615e-03	4.063615e-03
3.480349e+02	3.875597e+02	7.658774e-03	3.350452e-03	3.350452e-03
3.875597e+02	4.315732e+02	4.548766e-03	2.273951e-03	2.273951e-03
4.315732e+02	4.805851e+02	1.055069e-03	1.264852e-03	1.264852e-03
4.805851e+02	5.351631e+02	3.175505e-03	1.510642e-03	1.510642e-03
5.351631e+02	5.959393e+02	2.497114e-03	1.174075e-03	1.174075e-03
5.959393e+02	6.636175e+02	-3.809846e-04	6.479020e-04	6.479020e-04
6.636175e+02	7.389817e+02	3.321728e-04	3.321727e-04	3.321727e-04
7.389817e+02	8.229047e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.229047e+02	9.163584e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.163584e+02	1.020425e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.020425e+03	1.136311e+03	4.346292e-04	3.073357e-04	3.073357e-04
1.136311e+03	1.265356e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.265356e+03	1.409058e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.409058e+03	1.569078e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.569078e+03	1.747272e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.747272e+03	1.945702e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.945702e+03	2.166667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_pT_2[isr_x2xg_murfac=0.5]
