# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first muon
XLabel=$y(\mu\mathrm{1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mu\mathrm{1})$ [pb]
DrawOnly=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1 //u/user/choij/tmp_0x7f9118e7a1c0/MG299.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1
LegendOnly=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1 //u/user/choij/tmp_0x7f9118e7a1c0/MG299.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_MUONS:ENERGY=13000/muon_y_1[isr_x2xg_murfac=2.0]
ScaledBy=9.90718721677323265e-07
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.935449e+01	3.138742e+00	3.138742e+00
-4.800000e+00	-4.600000e+00	7.021830e+01	3.691273e+00	3.691273e+00
-4.600000e+00	-4.400000e+00	9.031530e+01	4.059591e+00	4.059591e+00
-4.400000e+00	-4.200000e+00	1.163418e+02	4.513006e+00	4.513006e+00
-4.200000e+00	-4.000000e+00	1.405441e+02	5.075828e+00	5.075828e+00
-4.000000e+00	-3.800000e+00	1.533155e+02	5.358295e+00	5.358295e+00
-3.800000e+00	-3.600000e+00	1.922544e+02	5.931726e+00	5.931726e+00
-3.600000e+00	-3.400000e+00	2.064999e+02	6.244005e+00	6.244005e+00
-3.400000e+00	-3.200000e+00	2.386170e+02	6.700280e+00	6.700280e+00
-3.200000e+00	-3.000000e+00	2.699341e+02	7.148544e+00	7.148544e+00
-3.000000e+00	-2.800000e+00	2.919135e+02	7.500467e+00	7.500467e+00
-2.800000e+00	-2.600000e+00	3.024888e+02	7.741337e+00	7.741337e+00
-2.600000e+00	-2.400000e+00	3.445413e+02	8.030590e+00	8.030590e+00
-2.400000e+00	-2.200000e+00	3.601407e+02	8.222769e+00	8.222769e+00
-2.200000e+00	-2.000000e+00	3.690511e+02	8.406478e+00	8.406478e+00
-2.000000e+00	-1.800000e+00	4.048030e+02	8.657481e+00	8.657481e+00
