# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading muon
XLabel=$p_\perp(\mu\mathrm{1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mu\mathrm{1}$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
DrawOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
LegendOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
LineColor=red
LineStyle=solid
Path=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_MUONS:ENERGY=13000/muon_pt_1
ScaledBy=4.95947501067303236e-06
Title=DY012jNLO_MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.084224e+00	1.962886e+02	2.102985e+01	2.102985e+01
1.084224e+00	1.175541e+00	1.316669e+02	1.756416e+01	1.756416e+01
1.175541e+00	1.274549e+00	1.581236e+02	1.711245e+01	1.711245e+01
1.274549e+00	1.381896e+00	1.341729e+02	1.569663e+01	1.569663e+01
1.381896e+00	1.498284e+00	1.162177e+02	1.369640e+01	1.369640e+01
1.498284e+00	1.624475e+00	1.042120e+02	1.305424e+01	1.305424e+01
1.624475e+00	1.761294e+00	9.794773e+01	1.146992e+01	1.146992e+01
1.761294e+00	1.909636e+00	1.030037e+02	1.132737e+01	1.132737e+01
1.909636e+00	2.070473e+00	7.942756e+01	1.009313e+01	1.009313e+01
2.070473e+00	2.244855e+00	6.176664e+01	8.375772e+00	8.375772e+00
2.244855e+00	2.433925e+00	6.226763e+01	8.431249e+00	8.431249e+00
2.433925e+00	2.638919e+00	6.292935e+01	7.989397e+00	7.989397e+00
2.638919e+00	2.861178e+00	5.691401e+01	7.150076e+00	7.150076e+00
2.861178e+00	3.102156e+00	5.301268e+01	6.615111e+00	6.615111e+00
3.102156e+00	3.363431e+00	5.129121e+01	5.967949e+00	5.967949e+00
3.363431e+00	3.646711e+00	4.642269e+01	5.574934e+00	5.574934e+00
3.646711e+00	3.953850e+00	4.077763e+01	5.440416e+00	5.440416e+00
3.953850e+00	4.286857e+00	4.287544e+01	4.989534e+00	4.989534e+00
4.286857e+00	4.647911e+00	3.503534e+01	4.718140e+00	4.718140e+00
4.647911e+00	5.039375e+00	3.775262e+01	4.479125e+00	4.479125e+00
5.039375e+00	5.463809e+00	4.101679e+01	4.326793e+00	4.326793e+00
5.463809e+00	5.923990e+00	3.565330e+01	4.172173e+00	4.172173e+00
5.923990e+00	6.422930e+00	3.539385e+01	3.913018e+00	3.913018e+00
6.422930e+00	6.963892e+00	4.491506e+01	3.790161e+00	3.790161e+00
