# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta{R}_{\gamma\ell}$ vs. lepton $p_\perp$
XLabel=Lepton $p_\perp$ [GeV]
YLabel=$\langle\Delta{R}_{\gamma\ell}\rangle$
DrawOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
LegendOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
LineColor=red
LineStyle=solid
Path=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
Title=DY012jNLO_MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	3.172621e+00	4.353257e-03	4.353257e-03
1.220000e+01	1.440000e+01	3.079715e+00	4.115131e-03	4.115131e-03
1.440000e+01	1.660000e+01	2.989083e+00	4.117139e-03	4.117139e-03
1.660000e+01	1.880000e+01	2.974687e+00	4.082263e-03	4.082263e-03
1.880000e+01	2.100000e+01	2.955523e+00	4.193008e-03	4.193008e-03
2.100000e+01	2.320000e+01	2.912150e+00	3.858029e-03	3.858029e-03
2.320000e+01	2.540000e+01	2.915329e+00	3.880235e-03	3.880235e-03
2.540000e+01	2.760000e+01	2.885574e+00	3.742336e-03	3.742336e-03
2.760000e+01	2.980000e+01	2.900661e+00	3.752434e-03	3.752434e-03
2.980000e+01	3.200000e+01	2.895335e+00	3.549403e-03	3.549403e-03
3.200000e+01	3.420000e+01	2.894817e+00	3.567059e-03	3.567059e-03
3.420000e+01	3.640000e+01	2.932748e+00	3.485308e-03	3.485308e-03
3.640000e+01	3.860000e+01	2.923313e+00	3.363117e-03	3.363117e-03
3.860000e+01	4.080000e+01	2.973914e+00	3.414082e-03	3.414082e-03
4.080000e+01	4.300000e+01	2.986573e+00	3.401228e-03	3.401228e-03
4.300000e+01	4.520000e+01	3.004513e+00	3.620898e-03	3.620898e-03
4.520000e+01	4.740000e+01	3.025783e+00	4.266863e-03	4.266863e-03
4.740000e+01	4.960000e+01	2.970418e+00	5.408473e-03	5.408473e-03
4.960000e+01	5.180000e+01	2.956429e+00	5.880762e-03	5.880762e-03
5.180000e+01	5.400000e+01	3.003080e+00	7.574974e-03	7.574974e-03
5.400000e+01	5.620000e+01	2.983251e+00	9.473583e-03	9.473583e-03
5.620000e+01	5.840000e+01	2.864977e+00	9.318430e-03	9.318430e-03
5.840000e+01	6.060000e+01	3.006958e+00	1.256710e-02	1.256710e-02
6.060000e+01	6.280000e+01	2.909938e+00	1.244383e-02	1.244383e-02
6.280000e+01	6.500000e+01	3.006523e+00	1.355926e-02	1.355926e-02
6.500000e+01	6.720000e+01	3.076369e+00	1.401287e-02	1.401287e-02
6.720000e+01	6.940000e+01	3.041526e+00	1.829030e-02	1.829030e-02
6.940000e+01	7.160000e+01	2.872715e+00	1.914623e-02	1.914623e-02
7.160000e+01	7.380000e+01	3.034916e+00	2.426506e-02	2.426506e-02
7.380000e+01	7.600000e+01	2.842149e+00	2.177825e-02	2.177825e-02
7.600000e+01	7.820000e+01	2.953900e+00	2.403101e-02	2.403101e-02
7.820000e+01	8.040000e+01	2.862621e+00	2.323912e-02	2.323912e-02
8.040000e+01	8.260000e+01	2.867088e+00	2.648952e-02	2.648952e-02
8.260000e+01	8.480000e+01	2.956091e+00	2.117396e-02	2.117396e-02
8.480000e+01	8.700000e+01	3.065527e+00	2.070188e-02	2.070188e-02
8.700000e+01	8.920000e+01	3.043817e+00	3.181222e-02	3.181222e-02
8.920000e+01	9.140000e+01	2.960626e+00	5.029147e-02	5.029147e-02
9.140000e+01	9.360000e+01	2.943601e+00	3.063743e-02	3.063743e-02
9.360000e+01	9.580000e+01	2.778191e+00	3.880881e-02	3.880881e-02
9.580000e+01	9.800000e+01	2.820328e+00	3.586383e-02	3.586383e-02
9.800000e+01	1.002000e+02	2.923678e+00	2.989566e-02	2.989566e-02
1.002000e+02	1.024000e+02	3.119992e+00	5.070008e-02	5.070008e-02
1.024000e+02	1.046000e+02	3.003383e+00	2.550198e-02	2.550198e-02
1.046000e+02	1.068000e+02	2.952259e+00	8.159053e-02	8.159053e-02
1.068000e+02	1.090000e+02	2.856726e+00	5.441032e-02	5.441032e-02
1.090000e+02	1.112000e+02	3.013209e+00	2.329879e-02	2.329879e-02
1.112000e+02	1.134000e+02	3.055783e+00	4.338782e-02	4.338782e-02
1.134000e+02	1.156000e+02	3.108555e+00	4.007729e-02	4.007729e-02
1.156000e+02	1.178000e+02	3.343709e+00	8.017377e-02	8.017377e-02
1.178000e+02	1.200000e+02	3.228145e+00	4.724866e-02	4.724866e-02
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
LineColor=blue
LineStyle=solid
Path=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
Title=DY012jNLO_MG331_DEFAULT
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	3.129744e+00	4.465951e-03	4.465951e-03
1.220000e+01	1.440000e+01	3.057845e+00	4.253309e-03	4.253309e-03
1.440000e+01	1.660000e+01	3.031706e+00	4.225511e-03	4.225511e-03
1.660000e+01	1.880000e+01	2.976311e+00	4.075369e-03	4.075369e-03
1.880000e+01	2.100000e+01	3.007359e+00	3.800072e-03	3.800072e-03
