# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second tau
XLabel=$p_\perp(\tau\mathrm{2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\tau\mathrm{2})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
DrawOnly=//u/user/choij/tmp_0x7f442cded1c0/DY012jNLO_MG273.yoda/MC_TAUS:ENERGY=13000/tau_pt_2 //u/user/choij/tmp_0x7f442cded1c0/DY012jNLO_MG331_DEFAULT.yoda/MC_TAUS:ENERGY=13000/tau_pt_2 //u/user/choij/tmp_0x7f442cded1c0/DY012jNLO_MG331_OFFPARAMS.yoda/MC_TAUS:ENERGY=13000/tau_pt_2
LegendOnly=//u/user/choij/tmp_0x7f442cded1c0/DY012jNLO_MG273.yoda/MC_TAUS:ENERGY=13000/tau_pt_2 //u/user/choij/tmp_0x7f442cded1c0/DY012jNLO_MG331_DEFAULT.yoda/MC_TAUS:ENERGY=13000/tau_pt_2 //u/user/choij/tmp_0x7f442cded1c0/DY012jNLO_MG331_OFFPARAMS.yoda/MC_TAUS:ENERGY=13000/tau_pt_2
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f442cded1c0/DY012jNLO_MG273.yoda/MC_TAUS:ENERGY=13000/tau_pt_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f442cded1c0/DY012jNLO_MG273.yoda/MC_TAUS:ENERGY=13000/tau_pt_2[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f442cded1c0/DY012jNLO_MG273.yoda/MC_TAUS:ENERGY=13000/tau_pt_2[isr_x2xg_murfac=2.0]
ScaledBy=4.95954001897706671e-06
Title=DY012jNLO_MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.166046e+00	6.062121e+00	2.397025e+00	2.397025e+00
1.166046e+00	1.359664e+00	3.903234e+00	2.595030e+00	2.595030e+00
1.359664e+00	1.585432e+00	4.472928e+00	2.500595e+00	2.500595e+00
1.585432e+00	1.848687e+00	4.770348e+00	2.437818e+00	2.437818e+00
1.848687e+00	2.155655e+00	8.606324e+00	2.493709e+00	2.493709e+00
2.155655e+00	2.513594e+00	1.159703e+01	2.381021e+00	2.381021e+00
2.513594e+00	2.930967e+00	1.013044e+01	2.322314e+00	2.322314e+00
2.930967e+00	3.417643e+00	9.280312e+00	2.002906e+00	2.002906e+00
3.417643e+00	3.985131e+00	8.676885e+00	2.150153e+00	2.150153e+00
3.985131e+00	4.646848e+00	1.588545e+01	2.124223e+00	2.124223e+00
4.646848e+00	5.418440e+00	1.505474e+01	2.104723e+00	2.104723e+00
5.418440e+00	6.318153e+00	1.927076e+01	1.982771e+00	1.982771e+00
6.318153e+00	7.367259e+00	1.862767e+01	1.918914e+00	1.918914e+00
7.367259e+00	8.590566e+00	1.917561e+01	1.923610e+00	1.923610e+00
8.590566e+00	1.001700e+01	2.383785e+01	1.872431e+00	1.872431e+00
1.001700e+01	1.168029e+01	2.414098e+01	1.730040e+00	1.730040e+00
1.168029e+01	1.361976e+01	3.078798e+01	1.778109e+00	1.778109e+00
1.361976e+01	1.588127e+01	3.230665e+01	1.709268e+00	1.709268e+00
1.588127e+01	1.851830e+01	3.941673e+01	1.702394e+00	1.702394e+00
1.851830e+01	2.159319e+01	4.336903e+01	1.690046e+00	1.690046e+00
2.159319e+01	2.517866e+01	4.945421e+01	1.624087e+00	1.624087e+00
2.517866e+01	2.935949e+01	5.678903e+01	1.618635e+00	1.618635e+00
2.935949e+01	3.423453e+01	6.328553e+01	1.543646e+00	1.543646e+00
3.423453e+01	3.991905e+01	7.123442e+01	1.483459e+00	1.483459e+00
3.991905e+01	4.654747e+01	5.939222e+01	1.219995e+00	1.219995e+00
4.654747e+01	5.427651e+01	4.734698e+00	3.778277e-01	3.778277e-01
5.427651e+01	6.328893e+01	1.020863e+00	1.743028e-01	1.743028e-01
6.328893e+01	7.379783e+01	4.383369e-01	9.802015e-02	9.802015e-02
7.379783e+01	8.605169e+01	2.897934e-01	6.805128e-02	6.805128e-02
8.605169e+01	1.003403e+02	1.311973e-01	4.225350e-02	4.225350e-02
1.003403e+02	1.170014e+02	4.555787e-02	2.382994e-02	2.382994e-02
1.170014e+02	1.364291e+02	1.816154e-02	1.408111e-02	1.408111e-02
1.364291e+02	1.590826e+02	-5.467349e-05	7.857597e-03	7.857597e-03
1.590826e+02	1.854977e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.854977e+02	2.162990e+02	4.050498e-03	4.050498e-03	4.050498e-03
