# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of leading jet
XLabel=$\eta(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~1})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1
LegendOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1
LineColor=red
LineStyle=solid
Path=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1
ScaledBy=4.95947501067303236e-06
Title=DY012jNLO_MG273
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.252440e+00	8.856091e-01	8.856091e-01
-4.800000e+00	-4.600000e+00	2.504881e+00	1.252440e+00	1.252440e+00
-4.600000e+00	-4.400000e+00	3.131102e+00	1.400271e+00	1.400271e+00
-4.400000e+00	-4.200000e+00	3.131101e+00	2.425340e+00	2.425340e+00
-4.200000e+00	-4.000000e+00	8.140865e+00	3.003247e+00	3.003247e+00
-4.000000e+00	-3.800000e+00	3.131101e+00	2.425340e+00	2.425340e+00
-3.800000e+00	-3.600000e+00	1.001953e+01	3.193109e+00	3.193109e+00
-3.600000e+00	-3.400000e+00	1.502928e+01	4.428045e+00	4.428045e+00
-3.400000e+00	-3.200000e+00	2.504881e+01	4.769151e+00	4.769151e+00
-3.200000e+00	-3.000000e+00	2.129149e+01	4.247232e+00	4.247232e+00
-3.000000e+00	-2.800000e+00	2.567503e+01	5.973759e+00	5.973759e+00
-2.800000e+00	-2.600000e+00	3.632077e+01	5.940846e+00	5.940846e+00
-2.600000e+00	-2.400000e+00	2.630125e+01	5.807327e+00	5.807327e+00
-2.400000e+00	-2.200000e+00	3.819943e+01	6.773607e+00	6.773607e+00
-2.200000e+00	-2.000000e+00	4.571407e+01	7.221923e+00	7.221923e+00
-2.000000e+00	-1.800000e+00	3.193723e+01	6.945117e+00	6.945117e+00
-1.800000e+00	-1.600000e+00	4.821896e+01	7.695122e+00	7.695122e+00
-1.600000e+00	-1.400000e+00	5.322870e+01	8.140863e+00	8.140863e+00
-1.400000e+00	-1.200000e+00	3.506833e+01	7.970481e+00	7.970481e+00
-1.200000e+00	-1.000000e+00	4.258297e+01	8.116742e+00	8.116742e+00
-1.000000e+00	-8.000000e-01	7.076290e+01	9.009739e+00	9.009739e+00
-8.000000e-01	-6.000000e-01	5.322870e+01	9.053160e+00	9.053160e+00
-6.000000e-01	-4.000000e-01	7.264155e+01	9.288346e+00	9.288346e+00
-4.000000e-01	-2.000000e-01	6.262200e+01	9.203520e+00	9.203520e+00
-2.000000e-01	0.000000e+00	6.700555e+01	9.009739e+00	9.009739e+00
0.000000e+00	2.000000e-01	8.140860e+01	9.288346e+00	9.288346e+00
2.000000e-01	4.000000e-01	7.264155e+01	8.987950e+00	8.987950e+00
4.000000e-01	6.000000e-01	6.199580e+01	8.563432e+00	8.563432e+00
6.000000e-01	8.000000e-01	7.264155e+01	9.160812e+00	9.160812e+00
8.000000e-01	1.000000e+00	7.326775e+01	9.139383e+00	9.139383e+00
1.000000e+00	1.200000e+00	4.821895e+01	8.188892e+00	8.188892e+00
1.200000e+00	1.400000e+00	5.322870e+01	7.846517e+00	7.846517e+00
1.400000e+00	1.600000e+00	7.013665e+01	8.494464e+00	8.494464e+00
1.600000e+00	1.800000e+00	5.260250e+01	7.871466e+00	7.871466e+00
1.800000e+00	2.000000e+00	4.634029e+01	7.669599e+00	7.669599e+00
2.000000e+00	2.200000e+00	4.634029e+01	7.462275e+00	7.462275e+00
2.200000e+00	2.400000e+00	3.506833e+01	6.507870e+00	6.507870e+00
2.400000e+00	2.600000e+00	3.506833e+01	6.507870e+00	6.507870e+00
2.600000e+00	2.800000e+00	3.005857e+01	5.601082e+00	5.601082e+00
2.800000e+00	3.000000e+00	2.379636e+01	5.009760e+00	5.009760e+00
3.000000e+00	3.200000e+00	1.753416e+01	4.428045e+00	4.428045e+00
3.200000e+00	3.400000e+00	8.767085e+00	3.757321e+00	3.757321e+00
3.400000e+00	3.600000e+00	1.440306e+01	4.106400e+00	4.106400e+00
3.600000e+00	3.800000e+00	1.189819e+01	3.809149e+00	3.809149e+00
3.800000e+00	4.000000e+00	8.767085e+00	3.542436e+00	3.542436e+00
4.000000e+00	4.200000e+00	4.383541e+00	2.869701e+00	2.869701e+00
4.200000e+00	4.400000e+00	5.635980e+00	2.257869e+00	2.257869e+00
4.400000e+00	4.600000e+00	1.878661e+00	1.878660e+00	1.878660e+00
4.600000e+00	4.800000e+00	4.383542e+00	1.656823e+00	1.656823e+00
4.800000e+00	5.000000e+00	-6.262205e-01	6.262202e-01	6.262202e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1
LineColor=blue
LineStyle=solid
Path=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_1
ScaledBy=4.99814271580614973e-06
Title=DY012jNLO_MG331_DEFAULT
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.963862e+00	1.133837e+00	1.133837e+00
-4.800000e+00	-4.600000e+00	6.546205e-01	6.546209e-01	6.546209e-01
-4.600000e+00	-4.400000e+00	1.309242e+00	9.257736e-01	9.257736e-01
-4.400000e+00	-4.200000e+00	0.000000e+00	-nan	-nan
-4.200000e+00	-4.000000e+00	3.927724e+00	2.618483e+00	2.618483e+00
-4.000000e+00	-3.800000e+00	8.510070e+00	2.999850e+00	2.999850e+00
-3.800000e+00	-3.600000e+00	3.927725e+00	2.618483e+00	2.618483e+00
-3.600000e+00	-3.400000e+00	9.819310e+00	3.644774e+00	3.644774e+00
-3.400000e+00	-3.200000e+00	2.225711e+01	4.898734e+00	4.898734e+00
-3.200000e+00	-3.000000e+00	2.094786e+01	5.236967e+00	5.236967e+00
-3.000000e+00	-2.800000e+00	1.505627e+01	5.358302e+00	5.358302e+00
-2.800000e+00	-2.600000e+00	2.618483e+01	6.480415e+00	6.480415e+00
-2.600000e+00	-2.400000e+00	3.011255e+01	6.611346e+00	6.611346e+00
-2.400000e+00	-2.200000e+00	3.796801e+01	6.739733e+00	6.739733e+00
-2.200000e+00	-2.000000e+00	3.993186e+01	7.435062e+00	7.435062e+00
-2.000000e+00	-1.800000e+00	3.207642e+01	7.717866e+00	7.717866e+00
-1.800000e+00	-1.600000e+00	3.273104e+01	7.800707e+00	7.800707e+00
-1.600000e+00	-1.400000e+00	5.040580e+01	8.149963e+00	8.149963e+00
-1.400000e+00	-1.200000e+00	4.909656e+01	8.097212e+00	8.097212e+00
-1.200000e+00	-1.000000e+00	5.957050e+01	8.709163e+00	8.709163e+00
-1.000000e+00	-8.000000e-01	8.182760e+01	9.553876e+00	9.553876e+00
-8.000000e-01	-6.000000e-01	5.367890e+01	8.434198e+00	8.434198e+00
-6.000000e-01	-4.000000e-01	6.218895e+01	9.463743e+00	9.463743e+00
-4.000000e-01	-2.000000e-01	7.069905e+01	9.257736e+00	9.257736e+00
-2.000000e-01	0.000000e+00	7.200830e+01	9.070692e+00	9.070692e+00
0.000000e+00	2.000000e-01	5.760665e+01	8.927837e+00	8.927837e+00
2.000000e-01	4.000000e-01	6.284360e+01	9.395576e+00	9.395576e+00
4.000000e-01	6.000000e-01	6.546210e+01	9.395576e+00	9.395576e+00
6.000000e-01	8.000000e-01	5.040580e+01	8.659818e+00	8.659818e+00
8.000000e-01	1.000000e+00	3.207642e+01	8.202375e+00	8.202375e+00
1.000000e+00	1.200000e+00	7.069905e+01	8.927837e+00	8.927837e+00
1.200000e+00	1.400000e+00	4.778732e+01	7.990665e+00	7.990665e+00
