# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of second jet
XLabel=$y(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~2})$ [pb]
DrawOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2
LegendOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2
LineColor=red
LineStyle=solid
Path=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2
ScaledBy=4.95947501067303236e-06
Title=DY012jNLO_MG273
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.878661e+00	1.084645e+00	1.084645e+00
-4.800000e+00	-4.600000e+00	1.878661e+00	1.084645e+00	1.084645e+00
-4.600000e+00	-4.400000e+00	2.504881e+00	1.252440e+00	1.252440e+00
-4.400000e+00	-4.200000e+00	-1.252440e+00	1.771219e+00	1.771219e+00
-4.200000e+00	-4.000000e+00	-1.804246e-16	1.771219e+00	1.771219e+00
-4.000000e+00	-3.800000e+00	1.252440e+00	2.800542e+00	2.800542e+00
-3.800000e+00	-3.600000e+00	5.009760e+00	2.656827e+00	2.656827e+00
-3.600000e+00	-3.400000e+00	9.393305e+00	3.003247e+00	3.003247e+00
-3.400000e+00	-3.200000e+00	8.140865e+00	3.372299e+00	3.372299e+00
-3.200000e+00	-3.000000e+00	9.393305e+00	3.597361e+00	3.597361e+00
-3.000000e+00	-2.800000e+00	8.767085e+00	3.542436e+00	3.542436e+00
-2.800000e+00	-2.600000e+00	1.377685e+01	3.960564e+00	3.960564e+00
-2.600000e+00	-2.400000e+00	1.189818e+01	4.106400e+00	4.106400e+00
-2.400000e+00	-2.200000e+00	8.767085e+00	4.428045e+00	4.428045e+00
-2.200000e+00	-2.000000e+00	1.377684e+01	4.686203e+00	4.686203e+00
-2.000000e+00	-1.800000e+00	2.191771e+01	5.705138e+00	5.705138e+00
-1.800000e+00	-1.600000e+00	1.628173e+01	5.009760e+00	5.009760e+00
-1.600000e+00	-1.400000e+00	1.753416e+01	5.386950e+00	5.386950e+00
-1.400000e+00	-1.200000e+00	2.817991e+01	5.705138e+00	5.705138e+00
-1.200000e+00	-1.000000e+00	2.630125e+01	5.386950e+00	5.386950e+00
-1.000000e+00	-8.000000e-01	1.377685e+01	5.530626e+00	5.530626e+00
-8.000000e-01	-6.000000e-01	2.003904e+01	5.239334e+00	5.239334e+00
-6.000000e-01	-4.000000e-01	2.379637e+01	5.739403e+00	5.739403e+00
-4.000000e-01	-2.000000e-01	1.440306e+01	5.276625e+00	5.276625e+00
-2.000000e-01	0.000000e+00	1.816039e+01	5.495059e+00	5.495059e+00
0.000000e+00	2.000000e-01	2.066527e+01	6.230813e+00	6.230813e+00
2.000000e-01	4.000000e-01	2.692747e+01	5.773465e+00	5.773465e+00
4.000000e-01	6.000000e-01	2.567503e+01	5.840993e+00	5.840993e+00
6.000000e-01	8.000000e-01	3.318967e+01	5.350428e+00	5.350428e+00
