# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of third jet
XLabel=$y(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~3})$ [pb]
DrawOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_3 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_3 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_3
LegendOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_3 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_3 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_3
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_3
LineColor=red
LineStyle=solid
Path=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_3
ScaledBy=4.95947501067303236e-06
Title=DY012jNLO_MG273
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	9.393305e-01	7.001354e-01	7.001354e-01
-4.600000e+00	-4.200000e+00	1.252441e+00	7.669599e-01	7.669599e-01
-4.200000e+00	-3.800000e+00	6.262202e-01	9.901411e-01	9.901411e-01
-3.800000e+00	-3.400000e+00	2.191771e+00	1.038469e+00	1.038469e+00
-3.400000e+00	-3.000000e+00	3.131100e+00	1.400271e+00	1.400271e+00
-3.000000e+00	-2.600000e+00	1.878661e+00	1.468616e+00	1.468616e+00
-2.600000e+00	-2.200000e+00	4.383543e+00	1.714974e+00	1.714974e+00
-2.200000e+00	-1.800000e+00	1.878661e+00	1.596554e+00	1.596554e+00
-1.800000e+00	-1.400000e+00	5.322872e+00	2.279476e+00	2.279476e+00
-1.400000e+00	-1.000000e+00	5.009763e+00	2.214023e+00	2.214023e+00
-1.000000e+00	-6.000000e-01	4.070432e+00	2.405044e+00	2.405044e+00
-6.000000e-01	-2.000000e-01	6.888423e+00	2.257869e+00	2.257869e+00
-2.000000e-01	2.000000e-01	5.635982e+00	2.384575e+00	2.384575e+00
2.000000e-01	6.000000e-01	1.158507e+01	2.524374e+00	2.524374e+00
6.000000e-01	1.000000e+00	9.393303e-01	2.100406e+00	2.100406e+00
1.000000e+00	1.400000e+00	5.635983e+00	1.878661e+00	1.878661e+00
1.400000e+00	1.800000e+00	6.888422e+00	2.123616e+00	2.123616e+00
1.800000e+00	2.200000e+00	5.635982e+00	1.771218e+00	1.771218e+00
2.200000e+00	2.600000e+00	5.322873e+00	1.743323e+00	1.743323e+00
2.600000e+00	3.000000e+00	4.696653e+00	1.565550e+00	1.565550e+00
3.000000e+00	3.400000e+00	9.393303e-01	1.290986e+00	1.290986e+00
3.400000e+00	3.800000e+00	3.131103e-01	1.128935e+00	1.128935e+00
