# BEGIN PLOT
Legend=1
LogY=1
Title=$\log_{10}$($k_\perp$ jet resolution $2 \to 3$ [GeV])
XLabel=$\log_{10}(d_{23}/\mathrm{GeV})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\log_{10}(d_{23}/\mathrm{GeV})$ [pb]
LegendXPos=0.15
LegendYPos=0.5
Rebin=2
DrawOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZKTSPLITTINGS:ENERGY=13000/log10_d_23 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_ZKTSPLITTINGS:ENERGY=13000/log10_d_23 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_ZKTSPLITTINGS:ENERGY=13000/log10_d_23
LegendOnly=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZKTSPLITTINGS:ENERGY=13000/log10_d_23 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_DEFAULT.yoda.gz/MC_ZKTSPLITTINGS:ENERGY=13000/log10_d_23 //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG331_OFFPARAMS.yoda.gz/MC_ZKTSPLITTINGS:ENERGY=13000/log10_d_23
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZKTSPLITTINGS:ENERGY=13000/log10_d_23
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZKTSPLITTINGS:ENERGY=13000/log10_d_23
LineColor=red
LineStyle=solid
Path=//u/user/choij/tmp_0x7f8f1e2c01c0/DY012jNLO_MG273.yoda.gz/MC_ZKTSPLITTINGS:ENERGY=13000/log10_d_23
ScaledBy=4.95947501067303236e-06
Title=DY012jNLO_MG273
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361291e-01	2.045276e+02	2.794837e+01	2.794837e+01
2.361291e-01	2.722583e-01	1.733280e+02	2.773247e+01	2.773247e+01
2.722583e-01	3.083874e-01	2.183939e+02	3.081154e+01	3.081154e+01
3.083874e-01	3.445165e-01	2.981251e+02	3.466570e+01	3.466570e+01
3.445165e-01	3.806457e-01	3.327898e+02	3.733599e+01	3.733599e+01
3.806457e-01	4.167748e-01	3.535900e+02	3.797436e+01	3.797436e+01
4.167748e-01	4.529039e-01	2.981251e+02	3.797436e+01	3.797436e+01
4.529039e-01	4.890331e-01	4.853182e+02	4.329732e+01	4.329732e+01
4.890331e-01	5.251622e-01	4.541206e+02	4.663792e+01	4.663792e+01
5.251622e-01	5.612913e-01	4.887863e+02	4.611971e+01	4.611971e+01
5.612913e-01	5.974205e-01	6.170477e+02	5.141739e+01	5.141739e+01
5.974205e-01	6.335496e-01	6.829140e+02	5.600414e+01	5.600414e+01
6.335496e-01	6.696787e-01	8.250435e+02	6.004275e+01	6.004275e+01
6.696787e-01	7.058079e-01	8.181081e+02	6.354309e+01	6.354309e+01
7.058079e-01	7.419370e-01	1.053837e+03	6.810729e+01	6.810729e+01
7.419370e-01	7.780661e-01	1.143968e+03	7.138103e+01	7.138103e+01
7.780661e-01	8.141953e-01	1.476754e+03	8.010679e+01	8.010679e+01
8.141953e-01	8.503244e-01	1.591155e+03	8.413129e+01	8.413129e+01
8.503244e-01	8.864535e-01	1.823415e+03	9.013080e+01	9.013080e+01
8.864535e-01	9.225827e-01	1.917007e+03	9.410927e+01	9.410927e+01
9.225827e-01	9.587118e-01	1.930879e+03	9.372570e+01	9.372570e+01
9.587118e-01	9.948409e-01	2.027943e+03	9.761947e+01	9.761947e+01
9.948409e-01	1.030970e+00	2.097274e+03	9.835534e+01	9.835534e+01
1.030970e+00	1.067099e+00	1.806088e+03	9.423739e+01	9.423739e+01
1.067099e+00	1.103228e+00	1.549561e+03	8.804017e+01	8.804017e+01
1.103228e+00	1.139357e+00	1.431697e+03	8.341428e+01	8.341428e+01
