# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second electron
XLabel=$p_\perp(\mathrm{e2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{e2})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
DrawOnly=//u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_2 //u/user/choij/tmp_0x7fbf5de6a1c0/MG331.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_2 //u/user/choij/tmp_0x7fbf5de6a1c0/MG331_ImprovedFxFx.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_2
LegendOnly=//u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_2 //u/user/choij/tmp_0x7fbf5de6a1c0/MG331.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_2 //u/user/choij/tmp_0x7fbf5de6a1c0/MG331_ImprovedFxFx.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_2
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_2[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fbf5de6a1c0/MG273.yoda.gz/MC_ELECTRONS:ENERGY=13000/electron_pt_2[isr_x2xg_murfac=2.0]
ScaledBy=9.90718721677323265e-07
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.166046e+00	1.154343e+02	5.501992e+00	5.501992e+00
1.166046e+00	1.359664e+00	8.812182e+01	4.429499e+00	4.429499e+00
1.359664e+00	1.585432e+00	6.389019e+01	3.450733e+00	3.450733e+00
1.585432e+00	1.848687e+00	4.560950e+01	2.744670e+00	2.744670e+00
1.848687e+00	2.155655e+00	4.134636e+01	2.340853e+00	2.340853e+00
2.155655e+00	2.513594e+00	2.887224e+01	1.935082e+00	1.935082e+00
2.513594e+00	2.930967e+00	2.482496e+01	1.684297e+00	1.684297e+00
2.930967e+00	3.417643e+00	2.821177e+01	1.543395e+00	1.543395e+00
3.417643e+00	3.985131e+00	2.476008e+01	1.416703e+00	1.416703e+00
3.985131e+00	4.646848e+00	2.545688e+01	1.291827e+00	1.291827e+00
4.646848e+00	5.418440e+00	2.542534e+01	1.185992e+00	1.185992e+00
5.418440e+00	6.318153e+00	2.615109e+01	1.094305e+00	1.094305e+00
6.318153e+00	7.367259e+00	2.615774e+01	1.029883e+00	1.029883e+00
7.367259e+00	8.590566e+00	2.840802e+01	9.597261e-01	9.597261e-01
8.590566e+00	1.001700e+01	2.933763e+01	9.211084e-01	9.211084e-01
1.001700e+01	1.168029e+01	3.420576e+01	8.899376e-01	8.899376e-01
1.168029e+01	1.361976e+01	3.471791e+01	8.399878e-01	8.399878e-01
1.361976e+01	1.588127e+01	3.917240e+01	8.188321e-01	8.188321e-01
1.588127e+01	1.851830e+01	4.354763e+01	7.854013e-01	7.854013e-01
1.851830e+01	2.159319e+01	4.881105e+01	7.730772e-01	7.730772e-01
2.159319e+01	2.517866e+01	5.270085e+01	7.478500e-01	7.478500e-01
2.517866e+01	2.935949e+01	5.611716e+01	7.119881e-01	7.119881e-01
2.935949e+01	3.423453e+01	6.208685e+01	6.839202e-01	6.839202e-01
