# BEGIN PLOT
Legend=1
LogY=0
LegendYPos=0.4
XLabel=$p_\perp(\mu\mu)$ [GeV]
YLabel=$\langle\mathrm{d}^2 \sum p_\perp/\mathrm{d}\eta\mathrm{d}\phi\rangle$ [GeV]
Title=$CMS, 13 TeV, pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X, Transverse$
DrawOnly=/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT0To50.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT50to100.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT100to250.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT250to400.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT400to650.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT650toInf.yoda.gz/CMS_2017_I1635889/d05-x01-y01
LegendOnly=/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT0To50.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT50to100.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT100to250.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT250to400.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT400to650.yoda.gz/CMS_2017_I1635889/d05-x01-y01 //u/user/choij/tmp_0x7f1a185241c0/ZpT650toInf.yoda.gz/CMS_2017_I1635889/d05-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2017_I1635889/d05-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2017_I1635889/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2017_I1635889/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.000000e+00	5.814880e-02	5.814880e-02
5.000000e+00	1.000000e+01	1.110000e+00	6.482010e-02	6.482010e-02
1.000000e+01	1.500000e+01	1.210000e+00	7.383790e-02	7.383790e-02
1.500000e+01	2.000000e+01	1.290000e+00	8.276890e-02	8.276890e-02
2.000000e+01	2.500000e+01	1.360000e+00	8.936060e-02	8.936060e-02
2.500000e+01	3.000000e+01	1.420000e+00	8.921590e-02	8.921590e-02
3.000000e+01	3.500000e+01	1.500000e+00	9.725440e-02	9.725440e-02
3.500000e+01	4.000000e+01	1.580000e+00	1.197780e-01	1.197780e-01
4.000000e+01	4.500000e+01	1.600000e+00	1.037860e-01	1.037860e-01
4.500000e+01	5.000000e+01	1.650000e+00	1.118250e-01	1.118250e-01
5.000000e+01	5.500000e+01	1.780000e+00	1.097530e-01	1.097530e-01
5.500000e+01	6.000000e+01	1.750000e+00	1.257070e-01	1.257070e-01
6.000000e+01	6.500000e+01	1.830000e+00	1.312610e-01	1.312610e-01
6.500000e+01	7.000000e+01	1.860000e+00	1.294420e-01	1.294420e-01
7.000000e+01	8.000000e+01	1.940000e+00	1.308580e-01	1.308580e-01
8.000000e+01	9.000000e+01	2.010000e+00	1.545350e-01	1.545350e-01
9.000000e+01	1.000000e+02	2.030000e+00	1.084460e-01	1.084460e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01[isr_x2xg_murfac=2.0]
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.109432e+00	1.283931e-02	1.283931e-02
5.000000e+00	1.000000e+01	1.173753e+00	1.455620e-02	1.455620e-02
1.000000e+01	1.500000e+01	1.251677e+00	2.087977e-02	2.087977e-02
1.500000e+01	2.000000e+01	1.312577e+00	2.385913e-02	2.385913e-02
2.000000e+01	2.500000e+01	1.508278e+00	3.898351e-02	3.898351e-02
2.500000e+01	3.000000e+01	1.447997e+00	3.936136e-02	3.936136e-02
3.000000e+01	3.500000e+01	1.505979e+00	5.118490e-02	5.118490e-02
3.500000e+01	4.000000e+01	1.496883e+00	7.053388e-02	7.053388e-02
4.000000e+01	4.500000e+01	1.723888e+00	9.002472e-02	9.002472e-02
4.500000e+01	5.000000e+01	1.787123e+00	1.236216e-01	1.236216e-01
5.000000e+01	5.500000e+01	1.517225e+00	1.131367e-01	1.131367e-01
5.500000e+01	6.000000e+01	2.019563e+00	1.591872e-01	1.591872e-01
6.000000e+01	6.500000e+01	1.680344e+00	1.385174e-01	1.385174e-01
6.500000e+01	7.000000e+01	1.534317e+00	1.665041e-01	1.665041e-01
7.000000e+01	8.000000e+01	1.949314e+00	2.411846e-01	2.411846e-01
8.000000e+01	9.000000e+01	1.898458e+00	1.552603e-01	1.552603e-01
9.000000e+01	1.000000e+02	1.925089e+00	2.192435e-01	2.192435e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01[isr_x2xg_murfac=0.5]
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.109925e+00	1.286459e-02	1.286459e-02
5.000000e+00	1.000000e+01	1.174628e+00	1.452635e-02	1.452635e-02
1.000000e+01	1.500000e+01	1.253634e+00	2.093616e-02	2.093616e-02
1.500000e+01	2.000000e+01	1.315805e+00	2.391041e-02	2.391041e-02
2.000000e+01	2.500000e+01	1.511080e+00	3.910878e-02	3.910878e-02
2.500000e+01	3.000000e+01	1.449955e+00	3.939840e-02	3.939840e-02
3.000000e+01	3.500000e+01	1.504966e+00	5.108479e-02	5.108479e-02
3.500000e+01	4.000000e+01	1.501663e+00	7.071654e-02	7.071654e-02
4.000000e+01	4.500000e+01	1.725359e+00	8.998739e-02	8.998739e-02
4.500000e+01	5.000000e+01	1.773885e+00	1.215756e-01	1.215756e-01
5.000000e+01	5.500000e+01	1.518736e+00	1.127727e-01	1.127727e-01
5.500000e+01	6.000000e+01	2.014922e+00	1.587093e-01	1.587093e-01
6.000000e+01	6.500000e+01	1.684403e+00	1.381705e-01	1.381705e-01
6.500000e+01	7.000000e+01	1.545843e+00	1.600196e-01	1.600196e-01
7.000000e+01	8.000000e+01	1.954464e+00	2.425341e-01	2.425341e-01
8.000000e+01	9.000000e+01	1.904926e+00	1.547238e-01	1.547238e-01
9.000000e+01	1.000000e+02	1.921387e+00	2.198190e-01	2.198190e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01[isr_x2xg_cns=_2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01[isr_x2xg_cns=_2.0]
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.110223e+00	1.286286e-02	1.286286e-02
5.000000e+00	1.000000e+01	1.174818e+00	1.455735e-02	1.455735e-02
1.000000e+01	1.500000e+01	1.253890e+00	2.093667e-02	2.093667e-02
1.500000e+01	2.000000e+01	1.315362e+00	2.390911e-02	2.390911e-02
2.000000e+01	2.500000e+01	1.510992e+00	3.910600e-02	3.910600e-02
2.500000e+01	3.000000e+01	1.449253e+00	3.939710e-02	3.939710e-02
3.000000e+01	3.500000e+01	1.503834e+00	5.099021e-02	5.099021e-02
3.500000e+01	4.000000e+01	1.500336e+00	7.069772e-02	7.069772e-02
4.000000e+01	4.500000e+01	1.726736e+00	8.999746e-02	8.999746e-02
4.500000e+01	5.000000e+01	1.775944e+00	1.217031e-01	1.217031e-01
5.000000e+01	5.500000e+01	1.517371e+00	1.129054e-01	1.129054e-01
5.500000e+01	6.000000e+01	2.016996e+00	1.588792e-01	1.588792e-01
6.000000e+01	6.500000e+01	1.681333e+00	1.379122e-01	1.379122e-01
6.500000e+01	7.000000e+01	1.545021e+00	1.593711e-01	1.593711e-01
7.000000e+01	8.000000e+01	1.956125e+00	2.419583e-01	2.419583e-01
8.000000e+01	9.000000e+01	1.902720e+00	1.549142e-01	1.549142e-01
9.000000e+01	1.000000e+02	1.920899e+00	2.200177e-01	2.200177e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01[isr_x2xg_cns=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01[isr_x2xg_cns=2.0]
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.128344e+00	1.371704e-02	1.371704e-02
5.000000e+00	1.000000e+01	1.197717e+00	1.518548e-02	1.518548e-02
1.000000e+01	1.500000e+01	1.266119e+00	2.175910e-02	2.175910e-02
1.500000e+01	2.000000e+01	1.347814e+00	2.524895e-02	2.524895e-02
2.000000e+01	2.500000e+01	1.542762e+00	4.186274e-02	4.186274e-02
2.500000e+01	3.000000e+01	1.456726e+00	4.082430e-02	4.082430e-02
3.000000e+01	3.500000e+01	1.538505e+00	5.711951e-02	5.711951e-02
3.500000e+01	4.000000e+01	1.509303e+00	7.076947e-02	7.076947e-02
4.000000e+01	4.500000e+01	1.768105e+00	9.306478e-02	9.306478e-02
4.500000e+01	5.000000e+01	1.908182e+00	1.391474e-01	1.391474e-01
5.000000e+01	5.500000e+01	1.602944e+00	1.529453e-01	1.529453e-01
5.500000e+01	6.000000e+01	2.003860e+00	1.612211e-01	1.612211e-01
6.000000e+01	6.500000e+01	1.729359e+00	1.544863e-01	1.544863e-01
6.500000e+01	7.000000e+01	1.635147e+00	3.872270e-02	3.872270e-02
7.000000e+01	8.000000e+01	2.076256e+00	2.834650e-01	2.834650e-01
8.000000e+01	9.000000e+01	1.989621e+00	1.711848e-01	1.711848e-01
9.000000e+01	1.000000e+02	1.903129e+00	2.200463e-01	2.200463e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01[isr_q2qg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/CMS_2017_I1635889/d05-x01-y01[isr_q2qg_murfac=2.0]
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.110684e+00	1.286514e-02	1.286514e-02
5.000000e+00	1.000000e+01	1.175118e+00	1.461219e-02	1.461219e-02
1.000000e+01	1.500000e+01	1.254252e+00	2.094188e-02	2.094188e-02
1.500000e+01	2.000000e+01	1.314741e+00	2.390294e-02	2.390294e-02
2.000000e+01	2.500000e+01	1.510484e+00	3.910092e-02	3.910092e-02
2.500000e+01	3.000000e+01	1.448407e+00	3.939506e-02	3.939506e-02
3.000000e+01	3.500000e+01	1.502547e+00	5.090281e-02	5.090281e-02
3.500000e+01	4.000000e+01	1.498281e+00	7.070175e-02	7.070175e-02
