# BEGIN PLOT
Legend=1
LogY=1
Title=Separation between Z boson and leading jet
XLabel=$\Delta R(\mathrm{Z,~1st~jet})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R(\mathrm{Z,~1st~jet})$ [pb]
LegendXPos=0.35
LegendYPos=0.5
DrawOnly=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT0To50.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT50to100.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT100to250.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT250to400.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT400to650.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT650toInf.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR
LegendOnly=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT0To50.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT50to100.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT100to250.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT250to400.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT400to650.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR //u/user/choij/tmp_0x7f1a185241c0/ZpT650toInf.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR[isr_x2xg_murfac=2.0]
ScaledBy=9.92893546258786715e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	2.257194e+00	5.714620e-01	5.714620e-01
7.600000e-01	1.020000e+00	2.444034e+00	7.359741e-01	7.359741e-01
1.020000e+00	1.280000e+00	4.373915e+00	8.309364e-01	8.309364e-01
1.280000e+00	1.540000e+00	4.738196e+00	1.090784e+00	1.090784e+00
1.540000e+00	1.800000e+00	5.921250e+00	1.309308e+00	1.309308e+00
1.800000e+00	2.060000e+00	1.318100e+01	1.735488e+00	1.735488e+00
2.060000e+00	2.320000e+00	2.670647e+01	2.351651e+00	2.351651e+00
2.320000e+00	2.580000e+00	5.305338e+01	3.251348e+00	3.251348e+00
2.580000e+00	2.840000e+00	1.046052e+02	4.661592e+00	4.661592e+00
2.840000e+00	3.100000e+00	2.286459e+02	6.766536e+00	6.766536e+00
3.100000e+00	3.360000e+00	2.645119e+02	7.010365e+00	7.010365e+00
3.360000e+00	3.620000e+00	1.243521e+02	5.043103e+00	5.043103e+00
3.620000e+00	3.880000e+00	9.777665e+01	4.236568e+00	4.236568e+00
3.880000e+00	4.140000e+00	7.344127e+01	3.667179e+00	3.667179e+00
4.140000e+00	4.400000e+00	5.321169e+01	3.233785e+00	3.233785e+00
4.400000e+00	4.660000e+00	4.056412e+01	2.842963e+00	2.842963e+00
4.660000e+00	4.920000e+00	3.121782e+01	2.515393e+00	2.515393e+00
4.920000e+00	5.180000e+00	2.637667e+01	2.158129e+00	2.158129e+00
5.180000e+00	5.440000e+00	1.938520e+01	1.978727e+00	1.978727e+00
5.440000e+00	5.700000e+00	1.731878e+01	1.739789e+00	1.739789e+00
5.700000e+00	5.960000e+00	1.249781e+01	1.543328e+00	1.543328e+00
5.960000e+00	6.220000e+00	1.089224e+01	1.336256e+00	1.336256e+00
6.220000e+00	6.480000e+00	8.567138e+00	1.179667e+00	1.179667e+00
6.480000e+00	6.740000e+00	7.017631e+00	1.086235e+00	1.086235e+00
6.740000e+00	7.000000e+00	6.362669e+00	9.589855e-01	9.589855e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/Z_jet1_dR[isr_x2xg_murfac=0.5]
ScaledBy=9.92889549571811558e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	7.600000e-01	2.218256e+00	5.698068e-01	5.698068e-01
7.600000e-01	1.020000e+00	2.374736e+00	7.351377e-01	7.351377e-01
1.020000e+00	1.280000e+00	4.377704e+00	8.348339e-01	8.348339e-01
