# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second jet
XLabel=$\eta(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT0To50.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT50to100.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT100to250.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT250to400.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT400to650.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT650toInf.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
LegendOnly=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT0To50.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT50to100.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT100to250.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT250to400.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT400to650.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1a185241c0/ZpT650toInf.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1a185241c0/incl.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2[isr_x2xg_murfac=2.0]
ScaledBy=9.92893546258786715e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	9.835310e-01	4.276997e-01	4.276997e-01
-4.800000e+00	-4.600000e+00	3.766696e-01	5.476678e-01	5.476678e-01
-4.600000e+00	-4.400000e+00	1.908333e+00	7.375573e-01	7.375573e-01
-4.400000e+00	-4.200000e+00	2.861283e+00	8.733928e-01	8.733928e-01
-4.200000e+00	-4.000000e+00	4.239548e+00	9.827530e-01	9.827530e-01
-4.000000e+00	-3.800000e+00	3.114185e+00	1.051204e+00	1.051204e+00
-3.800000e+00	-3.600000e+00	5.831830e+00	1.206969e+00	1.206969e+00
-3.600000e+00	-3.400000e+00	5.707355e+00	1.287258e+00	1.287258e+00
-3.400000e+00	-3.200000e+00	6.761950e+00	1.417128e+00	1.417128e+00
-3.200000e+00	-3.000000e+00	5.945685e+00	1.541089e+00	1.541089e+00
-3.000000e+00	-2.800000e+00	7.530295e+00	1.642973e+00	1.642973e+00
-2.800000e+00	-2.600000e+00	9.422885e+00	1.757906e+00	1.757906e+00
-2.600000e+00	-2.400000e+00	9.840590e+00	1.923302e+00	1.923302e+00
-2.400000e+00	-2.200000e+00	1.629319e+01	1.962625e+00	1.962625e+00
-2.200000e+00	-2.000000e+00	1.190506e+01	1.964249e+00	1.964249e+00
-2.000000e+00	-1.800000e+00	1.135686e+01	2.112255e+00	2.112255e+00
-1.800000e+00	-1.600000e+00	1.870635e+01	2.321982e+00	2.321982e+00
-1.600000e+00	-1.400000e+00	1.544324e+01	2.413918e+00	2.413918e+00
-1.400000e+00	-1.200000e+00	2.323613e+01	2.368663e+00	2.368663e+00
-1.200000e+00	-1.000000e+00	1.628397e+01	2.504612e+00	2.504612e+00
-1.000000e+00	-8.000000e-01	1.438730e+01	2.323548e+00	2.323548e+00
-8.000000e-01	-6.000000e-01	2.462030e+01	2.501435e+00	2.501435e+00
-6.000000e-01	-4.000000e-01	2.310719e+01	2.541349e+00	2.541349e+00
-4.000000e-01	-2.000000e-01	1.852146e+01	2.567081e+00	2.567081e+00
-2.000000e-01	0.000000e+00	2.150018e+01	2.461250e+00	2.461250e+00
0.000000e+00	2.000000e-01	1.794540e+01	2.426199e+00	2.426199e+00
2.000000e-01	4.000000e-01	1.880378e+01	2.486650e+00	2.486650e+00
4.000000e-01	6.000000e-01	1.571818e+01	2.489028e+00	2.489028e+00
6.000000e-01	8.000000e-01	1.850487e+01	2.568406e+00	2.568406e+00
8.000000e-01	1.000000e+00	1.776642e+01	2.494847e+00	2.494847e+00
1.000000e+00	1.200000e+00	1.689807e+01	2.437767e+00	2.437767e+00
1.200000e+00	1.400000e+00	1.955490e+01	2.344586e+00	2.344586e+00
1.400000e+00	1.600000e+00	1.322008e+01	2.251510e+00	2.251510e+00
