# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$, $0.8 < |y^{Z}| < 1.2$
XMin=0.1
LogX=1
XLabel=$p_{T}^{Z}$ [GeV]
YLabel=$d\sigma/dp_{T}^{Z}$ [pb/GeV]
DrawOnly=//u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_x2xg_murfac=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_x2xg_murfac=0.5] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_x2xg_cns=_2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_x2xg_cns=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_q2qg_murfac=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_q2qg_murfac=0.5] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_q2qg_cns=_2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_q2qg_cns=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_murfac=4.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_murfac=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_murfac=1.414] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_murfac=0.707] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_murfac=0.5] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_murfac=0.25] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_g2qq_murfac=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_g2qq_murfac=0.5] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_g2qq_cns=_2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_g2qq_cns=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_g2gg_murfac=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_g2gg_murfac=0.5] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_g2gg_cns=_2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_g2gg_cns=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_x2xg_murfac=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_x2xg_murfac=0.5] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_x2xg_cns=_2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_x2xg_cns=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_q2qg_murfac=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_q2qg_murfac=0.5] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_q2qg_cns=_2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_q2qg_cns=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_murfac=4.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_murfac=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_murfac=1.414] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_murfac=0.707] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_murfac=0.5] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_murfac=0.25] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_g2qq_murfac=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_g2qq_murfac=0.5] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_g2qq_cns=_2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_g2qq_cns=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_g2gg_murfac=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_g2gg_murfac=0.5] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_g2gg_cns=_2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[fsr_g2gg_cns=2.0] //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[Baseline] /CMS_2019_I1753680/d29-x01-y03 //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03 //u/user/choij/tmp_0x7fdc85ccf1c0/MG299.yoda.gz/CMS_2019_I1753680/d29-x01-y03 //u/user/choij/tmp_0x7fdc85ccf1c0/MG331.yoda.gz/CMS_2019_I1753680/d29-x01-y03
LegendOnly=/CMS_2019_I1753680/d29-x01-y03 //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03 //u/user/choij/tmp_0x7fdc85ccf1c0/MG299.yoda.gz/CMS_2019_I1753680/d29-x01-y03 //u/user/choij/tmp_0x7fdc85ccf1c0/MG331.yoda.gz/CMS_2019_I1753680/d29-x01-y03
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d29-x01-y03
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d29-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d29-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	2.032800e+00	7.544600e-02	7.544600e-02
1.000000e+00	2.000000e+00	4.852900e+00	1.675200e-01	1.675200e-01
2.000000e+00	3.000000e+00	6.873600e+00	2.261800e-01	2.261800e-01
3.000000e+00	4.000000e+00	7.788900e+00	2.497000e-01	2.497000e-01
4.000000e+00	5.000000e+00	7.929300e+00	2.489300e-01	2.489300e-01
5.000000e+00	6.000000e+00	7.627600e+00	2.342900e-01	2.342900e-01
6.000000e+00	7.000000e+00	7.162700e+00	2.156100e-01	2.156100e-01
7.000000e+00	8.000000e+00	6.667000e+00	1.973600e-01	1.973600e-01
8.000000e+00	9.000000e+00	6.163900e+00	1.800100e-01	1.800100e-01
9.000000e+00	1.000000e+01	5.677900e+00	1.639500e-01	1.639500e-01
1.000000e+01	1.100000e+01	5.248900e+00	1.504400e-01	1.504400e-01
1.100000e+01	1.200000e+01	4.817500e+00	1.372600e-01	1.372600e-01
1.200000e+01	1.300000e+01	4.445800e+00	1.256200e-01	1.256200e-01
1.300000e+01	1.400000e+01	4.069500e+00	1.143300e-01	1.143300e-01
1.400000e+01	1.600000e+01	3.615600e+00	1.012000e-01	1.012000e-01
1.600000e+01	1.800000e+01	3.081700e+00	8.580100e-02	8.580100e-02
1.800000e+01	2.000000e+01	2.693900e+00	7.456200e-02	7.456200e-02
2.000000e+01	2.200000e+01	2.322900e+00	6.394500e-02	6.394500e-02
2.200000e+01	2.500000e+01	1.957900e+00	5.363800e-02	5.363800e-02
2.500000e+01	2.800000e+01	1.617700e+00	4.408600e-02	4.408600e-02
2.800000e+01	3.200000e+01	1.309400e+00	3.565500e-02	3.565500e-02
3.200000e+01	3.700000e+01	1.023700e+00	2.811700e-02	2.811700e-02
3.700000e+01	4.300000e+01	7.556300e-01	2.098400e-02	2.098400e-02
4.300000e+01	5.200000e+01	5.242600e-01	1.472100e-02	1.472100e-02
5.200000e+01	6.500000e+01	3.143500e-01	8.947700e-03	8.947700e-03
6.500000e+01	8.500000e+01	1.661100e-01	4.824300e-03	4.824300e-03
8.500000e+01	1.200000e+02	7.131100e-02	2.161700e-03	2.161700e-03
1.200000e+02	1.600000e+02	2.631500e-02	8.492600e-04	8.492600e-04
1.600000e+02	1.900000e+02	1.117800e-02	3.830100e-04	3.830100e-04
1.900000e+02	2.200000e+02	6.025200e-03	2.195700e-04	2.195700e-04
2.200000e+02	2.500000e+02	3.471300e-03	1.338700e-04	1.338700e-04
2.500000e+02	3.000000e+02	1.767100e-03	7.140500e-05	7.140500e-05
3.000000e+02	4.000000e+02	5.830100e-04	2.577100e-05	2.577100e-05
4.000000e+02	1.500000e+03	2.425100e-05	1.233200e-06	1.233200e-06
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_x2xg_murfac=2.0]
ScaledBy=4.95375078769549410e-07
Title=MG273
Varitaions=None
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	1.432713e-02	8.274049e-03	8.274049e-03
2.000000e+00	3.000000e+00	2.380503e-02	1.264257e-02	1.264257e-02
3.000000e+00	4.000000e+00	3.845296e-02	1.361412e-02	1.361412e-02
4.000000e+00	5.000000e+00	5.732302e-02	1.655465e-02	1.655465e-02
5.000000e+00	6.000000e+00	5.291332e-02	1.596613e-02	1.596613e-02
6.000000e+00	7.000000e+00	4.845457e-02	2.061696e-02	2.061696e-02
7.000000e+00	8.000000e+00	5.793032e-02	2.048471e-02	2.048471e-02
8.000000e+00	9.000000e+00	4.475178e-02	1.874239e-02	1.874239e-02
9.000000e+00	1.000000e+01	6.698972e-02	2.256457e-02	2.256457e-02
1.000000e+01	1.100000e+01	2.033017e-02	1.793741e-02	1.793741e-02
1.100000e+01	1.200000e+01	1.305123e-01	2.933517e-02	2.933517e-02
1.200000e+01	1.300000e+01	1.258684e-01	2.822693e-02	2.822693e-02
1.300000e+01	1.400000e+01	9.217150e-02	2.787695e-02	2.787695e-02
1.400000e+01	1.600000e+01	1.184628e-01	2.566220e-02	2.566220e-02
1.600000e+01	1.800000e+01	8.511050e-02	2.581691e-02	2.581691e-02
1.800000e+01	2.000000e+01	1.070579e-01	3.043979e-02	3.043979e-02
2.000000e+01	2.200000e+01	2.423762e-01	3.440170e-02	3.440170e-02
2.200000e+01	2.500000e+01	2.704085e-01	3.087249e-02	3.087249e-02
2.500000e+01	2.800000e+01	2.395796e-01	3.384269e-02	3.384269e-02
2.800000e+01	3.200000e+01	3.947042e-01	3.506573e-02	3.506573e-02
3.200000e+01	3.700000e+01	4.961126e-01	3.419746e-02	3.419746e-02
3.700000e+01	4.300000e+01	4.750353e-01	2.978660e-02	2.978660e-02
4.300000e+01	5.200000e+01	4.002660e-01	2.188181e-02	2.188181e-02
5.200000e+01	6.500000e+01	2.344965e-01	1.342312e-02	1.342312e-02
6.500000e+01	8.500000e+01	1.117436e-01	7.450881e-03	7.450881e-03
8.500000e+01	1.200000e+02	4.097634e-02	3.196418e-03	3.196418e-03
1.200000e+02	1.600000e+02	1.200888e-02	1.676151e-03	1.676151e-03
1.600000e+02	1.900000e+02	4.727737e-03	1.136673e-03	1.136673e-03
1.900000e+02	2.200000e+02	9.760547e-04	7.626959e-04	7.626959e-04
2.200000e+02	2.500000e+02	1.441076e-03	5.804103e-04	5.804103e-04
2.500000e+02	3.000000e+02	9.578962e-05	2.168434e-04	2.168434e-04
3.000000e+02	4.000000e+02	2.185402e-06	7.031206e-05	7.031206e-05
4.000000e+02	1.500000e+03	4.397554e-06	4.397554e-06	4.397554e-06
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fdc85ccf1c0/MG273.yoda.gz/CMS_2019_I1753680/d29-x01-y03[isr_x2xg_murfac=0.5]
ScaledBy=4.95367673163360678e-07
Title=MG273
Varitaions=None
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	1.443486e-02	8.334208e-03	8.334208e-03
2.000000e+00	3.000000e+00	2.425773e-02	1.282717e-02	1.282717e-02
3.000000e+00	4.000000e+00	3.853089e-02	1.362369e-02	1.362369e-02
4.000000e+00	5.000000e+00	5.806391e-02	1.676161e-02	1.676161e-02
5.000000e+00	6.000000e+00	5.333747e-02	1.608215e-02	1.608215e-02
6.000000e+00	7.000000e+00	4.874476e-02	2.048348e-02	2.048348e-02
7.000000e+00	8.000000e+00	5.802932e-02	2.053787e-02	2.053787e-02
8.000000e+00	9.000000e+00	4.354337e-02	1.873705e-02	1.873705e-02
9.000000e+00	1.000000e+01	6.792674e-02	2.273838e-02	2.273838e-02
1.000000e+01	1.100000e+01	1.956505e-02	1.805213e-02	1.805213e-02
1.100000e+01	1.200000e+01	1.306414e-01	2.943497e-02	2.943497e-02
1.200000e+01	1.300000e+01	1.259265e-01	2.823301e-02	2.823301e-02
1.300000e+01	1.400000e+01	9.171186e-02	2.777824e-02	2.777824e-02
1.400000e+01	1.600000e+01	1.181858e-01	2.569623e-02	2.569623e-02
1.600000e+01	1.800000e+01	8.442625e-02	2.567719e-02	2.567719e-02
1.800000e+01	2.000000e+01	1.093154e-01	3.045636e-02	3.045636e-02
2.000000e+01	2.200000e+01	2.437623e-01	3.440868e-02	3.440868e-02
2.200000e+01	2.500000e+01	2.711068e-01	3.090527e-02	3.090527e-02
