# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of fourth jet
XLabel=$y(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~4})$ [pb]
LegendYPos=0.5
LegendXPos=0.3
DrawOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_y_4 //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_JETS:ENERGY=13000/jet_y_4 //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_JETS:ENERGY=13000/jet_y_4
LegendOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_y_4 //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_JETS:ENERGY=13000/jet_y_4 //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_JETS:ENERGY=13000/jet_y_4
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_y_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_y_4[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_JETS:ENERGY=13000/jet_y_4[isr_x2xg_murfac=2.0]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.936565e+00	4.023749e-01	4.023749e-01
-4.600000e+00	-4.200000e+00	8.727345e+00	5.316199e-01	5.316199e-01
-4.200000e+00	-3.800000e+00	1.393146e+01	6.645385e-01	6.645385e-01
-3.800000e+00	-3.400000e+00	1.935951e+01	7.919888e-01	7.919888e-01
-3.400000e+00	-3.000000e+00	2.681248e+01	9.245056e-01	9.245056e-01
-3.000000e+00	-2.600000e+00	3.310478e+01	1.039519e+00	1.039519e+00
-2.600000e+00	-2.200000e+00	3.842448e+01	1.104951e+00	1.104951e+00
-2.200000e+00	-1.800000e+00	4.608270e+01	1.205157e+00	1.205157e+00
-1.800000e+00	-1.400000e+00	4.809062e+01	1.252547e+00	1.252547e+00
-1.400000e+00	-1.000000e+00	5.459738e+01	1.323793e+00	1.323793e+00
-1.000000e+00	-6.000000e-01	5.868740e+01	1.338618e+00	1.338618e+00
-6.000000e-01	-2.000000e-01	5.680138e+01	1.361863e+00	1.361863e+00
-2.000000e-01	2.000000e-01	6.120050e+01	1.387590e+00	1.387590e+00
2.000000e-01	6.000000e-01	5.936010e+01	1.351601e+00	1.351601e+00
6.000000e-01	1.000000e+00	5.823907e+01	1.350237e+00	1.350237e+00
1.000000e+00	1.400000e+00	5.382523e+01	1.323561e+00	1.323561e+00
1.400000e+00	1.800000e+00	5.197975e+01	1.278170e+00	1.278170e+00
1.800000e+00	2.200000e+00	4.649117e+01	1.204107e+00	1.204107e+00
2.200000e+00	2.600000e+00	4.046990e+01	1.130083e+00	1.130083e+00
