# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta{R}_{\gamma\ell}$ vs. lepton $p_\perp$
XLabel=Lepton $p_\perp$ [GeV]
YLabel=$\langle\Delta{R}_{\gamma\ell}\rangle$
DrawOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
LegendOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep[isr_x2xg_murfac=2.0]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	3.003873e+00	1.605409e-03	1.605409e-03
1.220000e+01	1.440000e+01	2.976960e+00	1.600109e-03	1.600109e-03
1.440000e+01	1.660000e+01	2.930369e+00	1.546468e-03	1.546468e-03
1.660000e+01	1.880000e+01	2.900832e+00	1.522544e-03	1.522544e-03
1.880000e+01	2.100000e+01	2.877862e+00	1.499892e-03	1.499892e-03
2.100000e+01	2.320000e+01	2.863730e+00	1.473473e-03	1.473473e-03
2.320000e+01	2.540000e+01	2.869068e+00	1.418394e-03	1.418394e-03
2.540000e+01	2.760000e+01	2.878112e+00	1.425112e-03	1.425112e-03
2.760000e+01	2.980000e+01	2.875614e+00	1.415412e-03	1.415412e-03
2.980000e+01	3.200000e+01	2.905288e+00	1.458163e-03	1.458163e-03
3.200000e+01	3.420000e+01	2.919491e+00	1.462639e-03	1.462639e-03
3.420000e+01	3.640000e+01	2.923233e+00	1.542104e-03	1.542104e-03
3.640000e+01	3.860000e+01	2.941930e+00	1.578437e-03	1.578437e-03
3.860000e+01	4.080000e+01	2.948829e+00	1.633538e-03	1.633538e-03
4.080000e+01	4.300000e+01	2.961604e+00	1.669089e-03	1.669089e-03
4.300000e+01	4.520000e+01	2.948793e+00	1.684353e-03	1.684353e-03
4.520000e+01	4.740000e+01	2.945682e+00	1.747145e-03	1.747145e-03
4.740000e+01	4.960000e+01	2.948951e+00	1.793285e-03	1.793285e-03
4.960000e+01	5.180000e+01	2.972761e+00	1.858958e-03	1.858958e-03
5.180000e+01	5.400000e+01	2.964939e+00	1.913457e-03	1.913457e-03
5.400000e+01	5.620000e+01	2.971499e+00	2.000329e-03	2.000329e-03
5.620000e+01	5.840000e+01	2.963109e+00	2.075040e-03	2.075040e-03
5.840000e+01	6.060000e+01	2.973122e+00	2.209882e-03	2.209882e-03
6.060000e+01	6.280000e+01	2.970304e+00	2.223681e-03	2.223681e-03
6.280000e+01	6.500000e+01	2.979158e+00	2.341064e-03	2.341064e-03
6.500000e+01	6.720000e+01	2.964141e+00	2.549118e-03	2.549118e-03
6.720000e+01	6.940000e+01	2.979279e+00	2.742424e-03	2.742424e-03
6.940000e+01	7.160000e+01	2.978846e+00	2.837583e-03	2.837583e-03
7.160000e+01	7.380000e+01	2.978160e+00	3.039947e-03	3.039947e-03
7.380000e+01	7.600000e+01	2.994217e+00	3.344065e-03	3.344065e-03
7.600000e+01	7.820000e+01	2.981612e+00	3.423879e-03	3.423879e-03
7.820000e+01	8.040000e+01	2.974872e+00	3.809859e-03	3.809859e-03
8.040000e+01	8.260000e+01	3.008759e+00	4.091484e-03	4.091484e-03
8.260000e+01	8.480000e+01	2.960649e+00	4.320374e-03	4.320374e-03
8.480000e+01	8.700000e+01	2.978217e+00	4.615814e-03	4.615814e-03
8.700000e+01	8.920000e+01	2.977166e+00	4.818423e-03	4.818423e-03
8.920000e+01	9.140000e+01	2.967876e+00	5.218673e-03	5.218673e-03
9.140000e+01	9.360000e+01	2.949069e+00	5.544232e-03	5.544232e-03
9.360000e+01	9.580000e+01	3.013150e+00	5.788205e-03	5.788205e-03
9.580000e+01	9.800000e+01	2.983785e+00	6.194171e-03	6.194171e-03
9.800000e+01	1.002000e+02	2.952391e+00	6.522883e-03	6.522883e-03
1.002000e+02	1.024000e+02	2.959623e+00	6.990034e-03	6.990034e-03
1.024000e+02	1.046000e+02	3.023700e+00	7.128384e-03	7.128384e-03
1.046000e+02	1.068000e+02	3.042717e+00	7.514451e-03	7.514451e-03
1.068000e+02	1.090000e+02	3.028297e+00	7.758481e-03	7.758481e-03
1.090000e+02	1.112000e+02	2.989497e+00	8.140326e-03	8.140326e-03
1.112000e+02	1.134000e+02	3.003176e+00	8.192699e-03	8.192699e-03
1.134000e+02	1.156000e+02	2.944001e+00	9.090922e-03	9.090922e-03
1.156000e+02	1.178000e+02	2.985839e+00	1.011990e-02	1.011990e-02
1.178000e+02	1.200000e+02	2.936745e+00	1.016720e-02	1.016720e-02
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep[isr_x2xg_murfac=0.5]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	3.003657e+00	1.604598e-03	1.604598e-03
1.220000e+01	1.440000e+01	2.976671e+00	1.598548e-03	1.598548e-03
1.440000e+01	1.660000e+01	2.930635e+00	1.544797e-03	1.544797e-03
1.660000e+01	1.880000e+01	2.900943e+00	1.521508e-03	1.521508e-03
1.880000e+01	2.100000e+01	2.877947e+00	1.499137e-03	1.499137e-03
2.100000e+01	2.320000e+01	2.864034e+00	1.473223e-03	1.473223e-03
2.320000e+01	2.540000e+01	2.869025e+00	1.417436e-03	1.417436e-03
2.540000e+01	2.760000e+01	2.877706e+00	1.425266e-03	1.425266e-03
2.760000e+01	2.980000e+01	2.875059e+00	1.414685e-03	1.414685e-03
2.980000e+01	3.200000e+01	2.904671e+00	1.456812e-03	1.456812e-03
3.200000e+01	3.420000e+01	2.919343e+00	1.462165e-03	1.462165e-03
3.420000e+01	3.640000e+01	2.923102e+00	1.540082e-03	1.540082e-03
3.640000e+01	3.860000e+01	2.941738e+00	1.577221e-03	1.577221e-03
3.860000e+01	4.080000e+01	2.948457e+00	1.631967e-03	1.631967e-03
4.080000e+01	4.300000e+01	2.961565e+00	1.667872e-03	1.667872e-03
4.300000e+01	4.520000e+01	2.948910e+00	1.683344e-03	1.683344e-03
4.520000e+01	4.740000e+01	2.945362e+00	1.745499e-03	1.745499e-03
4.740000e+01	4.960000e+01	2.948998e+00	1.790601e-03	1.790601e-03
4.960000e+01	5.180000e+01	2.972331e+00	1.857780e-03	1.857780e-03
5.180000e+01	5.400000e+01	2.965264e+00	1.911628e-03	1.911628e-03
5.400000e+01	5.620000e+01	2.971321e+00	1.999624e-03	1.999624e-03
5.620000e+01	5.840000e+01	2.963123e+00	2.073692e-03	2.073692e-03
5.840000e+01	6.060000e+01	2.973034e+00	2.208142e-03	2.208142e-03
6.060000e+01	6.280000e+01	2.970730e+00	2.222797e-03	2.222797e-03
6.280000e+01	6.500000e+01	2.978456e+00	2.340235e-03	2.340235e-03
6.500000e+01	6.720000e+01	2.964187e+00	2.547946e-03	2.547946e-03
6.720000e+01	6.940000e+01	2.978620e+00	2.740282e-03	2.740282e-03
6.940000e+01	7.160000e+01	2.979428e+00	2.832934e-03	2.832934e-03
7.160000e+01	7.380000e+01	2.978035e+00	3.034677e-03	3.034677e-03
7.380000e+01	7.600000e+01	2.994410e+00	3.340417e-03	3.340417e-03
7.600000e+01	7.820000e+01	2.981878e+00	3.418448e-03	3.418448e-03
7.820000e+01	8.040000e+01	2.975986e+00	3.809707e-03	3.809707e-03
8.040000e+01	8.260000e+01	3.008647e+00	4.085255e-03	4.085255e-03
8.260000e+01	8.480000e+01	2.959853e+00	4.315311e-03	4.315311e-03
8.480000e+01	8.700000e+01	2.977598e+00	4.610296e-03	4.610296e-03
8.700000e+01	8.920000e+01	2.977662e+00	4.805593e-03	4.805593e-03
8.920000e+01	9.140000e+01	2.967668e+00	5.210562e-03	5.210562e-03
9.140000e+01	9.360000e+01	2.949094e+00	5.539780e-03	5.539780e-03
9.360000e+01	9.580000e+01	3.012789e+00	5.790892e-03	5.790892e-03
9.580000e+01	9.800000e+01	2.982747e+00	6.201256e-03	6.201256e-03
9.800000e+01	1.002000e+02	2.953643e+00	6.516274e-03	6.516274e-03
1.002000e+02	1.024000e+02	2.959003e+00	6.968375e-03	6.968375e-03
1.024000e+02	1.046000e+02	3.023589e+00	7.085838e-03	7.085838e-03
1.046000e+02	1.068000e+02	3.043216e+00	7.519162e-03	7.519162e-03
1.068000e+02	1.090000e+02	3.027359e+00	7.762818e-03	7.762818e-03
1.090000e+02	1.112000e+02	2.989413e+00	8.134732e-03	8.134732e-03
1.112000e+02	1.134000e+02	3.003669e+00	8.186959e-03	8.186959e-03
1.134000e+02	1.156000e+02	2.940910e+00	9.085970e-03	9.085970e-03
1.156000e+02	1.178000e+02	2.985393e+00	1.012323e-02	1.012323e-02
1.178000e+02	1.200000e+02	2.939256e+00	1.020082e-02	1.020082e-02
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep[isr_x2xg_cns=_2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/DeltaR_vs_pTlep[isr_x2xg_cns=_2.0]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	3.003702e+00	1.604486e-03	1.604486e-03
1.220000e+01	1.440000e+01	2.976603e+00	1.598464e-03	1.598464e-03
1.440000e+01	1.660000e+01	2.930580e+00	1.544968e-03	1.544968e-03
1.660000e+01	1.880000e+01	2.901031e+00	1.521250e-03	1.521250e-03
1.880000e+01	2.100000e+01	2.877842e+00	1.498765e-03	1.498765e-03
2.100000e+01	2.320000e+01	2.863841e+00	1.472915e-03	1.472915e-03
2.320000e+01	2.540000e+01	2.869040e+00	1.417273e-03	1.417273e-03
2.540000e+01	2.760000e+01	2.877677e+00	1.425250e-03	1.425250e-03
2.760000e+01	2.980000e+01	2.875165e+00	1.414605e-03	1.414605e-03
2.980000e+01	3.200000e+01	2.904797e+00	1.456654e-03	1.456654e-03
3.200000e+01	3.420000e+01	2.919326e+00	1.461618e-03	1.461618e-03
3.420000e+01	3.640000e+01	2.923004e+00	1.539890e-03	1.539890e-03
3.640000e+01	3.860000e+01	2.941655e+00	1.577146e-03	1.577146e-03
3.860000e+01	4.080000e+01	2.948370e+00	1.632149e-03	1.632149e-03
4.080000e+01	4.300000e+01	2.961543e+00	1.667643e-03	1.667643e-03
4.300000e+01	4.520000e+01	2.948815e+00	1.683125e-03	1.683125e-03
4.520000e+01	4.740000e+01	2.945402e+00	1.745541e-03	1.745541e-03
4.740000e+01	4.960000e+01	2.949016e+00	1.790782e-03	1.790782e-03
4.960000e+01	5.180000e+01	2.972357e+00	1.857539e-03	1.857539e-03
