# BEGIN PLOT
Legend=1
LogY=1
Title=Sum of photon energies
XLabel=$\sum{E_\gamma}$ [GeV]
YLabel=$1/\sigma \, \mathrm{d}\sigma/\mathrm{d}\sum{E_\gamma}$ [GeV$^{-1}$]
DrawOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma
LegendOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma[isr_x2xg_murfac=2.0]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.200000e+01	2.113960e-04	7.438115e-06	7.438115e-06
5.200000e+01	1.040000e+02	1.040054e-03	1.696182e-05	1.696182e-05
1.040000e+02	1.560000e+02	1.699585e-03	2.193438e-05	2.193438e-05
1.560000e+02	2.080000e+02	2.184150e-03	2.473551e-05	2.473551e-05
2.080000e+02	2.600000e+02	2.493573e-03	2.625003e-05	2.625003e-05
2.600000e+02	3.120000e+02	2.699606e-03	2.750879e-05	2.750879e-05
3.120000e+02	3.640000e+02	2.895017e-03	2.860913e-05	2.860913e-05
3.640000e+02	4.160000e+02	3.073033e-03	2.923442e-05	2.923442e-05
4.160000e+02	4.680000e+02	3.121885e-03	2.962334e-05	2.962334e-05
4.680000e+02	5.200000e+02	3.235906e-03	3.012120e-05	3.012120e-05
5.200000e+02	5.720000e+02	3.248481e-03	3.024705e-05	3.024705e-05
5.720000e+02	6.240000e+02	3.318598e-03	3.027385e-05	3.027385e-05
6.240000e+02	6.760000e+02	3.217977e-03	2.992720e-05	2.992720e-05
6.760000e+02	7.280000e+02	3.147110e-03	2.961610e-05	2.961610e-05
7.280000e+02	7.800000e+02	2.970588e-03	2.873906e-05	2.873906e-05
7.800000e+02	8.320000e+02	2.769471e-03	2.783349e-05	2.783349e-05
8.320000e+02	8.840000e+02	2.559788e-03	2.664281e-05	2.664281e-05
8.840000e+02	9.360000e+02	2.285925e-03	2.521416e-05	2.521416e-05
9.360000e+02	9.880000e+02	2.016865e-03	2.371537e-05	2.371537e-05
9.880000e+02	1.040000e+03	1.742682e-03	2.208613e-05	2.208613e-05
1.040000e+03	1.092000e+03	1.481217e-03	2.033422e-05	2.033422e-05
1.092000e+03	1.144000e+03	1.210879e-03	1.851169e-05	1.851169e-05
1.144000e+03	1.196000e+03	1.016079e-03	1.689922e-05	1.689922e-05
1.196000e+03	1.248000e+03	8.388304e-04	1.528328e-05	1.528328e-05
1.248000e+03	1.300000e+03	6.988181e-04	1.375208e-05	1.375208e-05
1.300000e+03	1.352000e+03	5.549158e-04	1.228282e-05	1.228282e-05
1.352000e+03	1.404000e+03	4.182319e-04	1.085921e-05	1.085921e-05
1.404000e+03	1.456000e+03	3.252265e-04	9.669282e-06	9.669282e-06
1.456000e+03	1.508000e+03	2.697612e-04	8.591674e-06	8.591674e-06
1.508000e+03	1.560000e+03	2.009023e-04	7.505503e-06	7.505503e-06
1.560000e+03	1.612000e+03	1.610785e-04	6.638686e-06	6.638686e-06
1.612000e+03	1.664000e+03	1.200646e-04	5.882948e-06	5.882948e-06
1.664000e+03	1.716000e+03	9.414998e-05	5.163476e-06	5.163476e-06
1.716000e+03	1.768000e+03	7.629725e-05	4.562410e-06	4.562410e-06
1.768000e+03	1.820000e+03	5.835519e-05	4.122527e-06	4.122527e-06
1.820000e+03	1.872000e+03	4.694481e-05	3.575810e-06	3.575810e-06
1.872000e+03	1.924000e+03	3.940529e-05	3.077210e-06	3.077210e-06
1.924000e+03	1.976000e+03	3.214656e-05	2.801716e-06	2.801716e-06
1.976000e+03	2.028000e+03	2.160575e-05	2.521215e-06	2.521215e-06
2.028000e+03	2.080000e+03	1.805415e-05	2.313513e-06	2.313513e-06
2.080000e+03	2.132000e+03	1.259347e-05	1.910121e-06	1.910121e-06
2.132000e+03	2.184000e+03	9.275337e-06	1.729693e-06	1.729693e-06
2.184000e+03	2.236000e+03	9.601569e-06	1.530804e-06	1.530804e-06
2.236000e+03	2.288000e+03	7.556488e-06	1.382747e-06	1.382747e-06
2.288000e+03	2.340000e+03	8.419087e-06	1.330004e-06	1.330004e-06
2.340000e+03	2.392000e+03	4.818792e-06	1.112999e-06	1.112999e-06
2.392000e+03	2.444000e+03	3.155340e-06	1.037771e-06	1.037771e-06
2.444000e+03	2.496000e+03	3.091202e-06	9.059968e-07	9.059968e-07
2.496000e+03	2.548000e+03	2.521917e-06	9.517486e-07	9.517486e-07
2.548000e+03	2.600000e+03	3.784027e-06	9.259053e-07	9.259053e-07
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_PHOTONS:ENERGY=13000/sumEgamma[isr_x2xg_murfac=0.5]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.200000e+01	2.112069e-04	7.433057e-06	7.433057e-06
5.200000e+01	1.040000e+02	1.039961e-03	1.695507e-05	1.695507e-05
1.040000e+02	1.560000e+02	1.698636e-03	2.192237e-05	2.192237e-05
1.560000e+02	2.080000e+02	2.183746e-03	2.472561e-05	2.472561e-05
2.080000e+02	2.600000e+02	2.492804e-03	2.624019e-05	2.624019e-05
2.600000e+02	3.120000e+02	2.699235e-03	2.749620e-05	2.749620e-05
3.120000e+02	3.640000e+02	2.894363e-03	2.859110e-05	2.859110e-05
3.640000e+02	4.160000e+02	3.072650e-03	2.921899e-05	2.921899e-05
4.160000e+02	4.680000e+02	3.121087e-03	2.960403e-05	2.960403e-05
4.680000e+02	5.200000e+02	3.233312e-03	3.009338e-05	3.009338e-05
5.200000e+02	5.720000e+02	3.247412e-03	3.021621e-05	3.021621e-05
5.720000e+02	6.240000e+02	3.318829e-03	3.025664e-05	3.025664e-05
6.240000e+02	6.760000e+02	3.217762e-03	2.990111e-05	2.990111e-05
6.760000e+02	7.280000e+02	3.145117e-03	2.958771e-05	2.958771e-05
7.280000e+02	7.800000e+02	2.970373e-03	2.871023e-05	2.871023e-05
7.800000e+02	8.320000e+02	2.769815e-03	2.781219e-05	2.781219e-05
8.320000e+02	8.840000e+02	2.560119e-03	2.662636e-05	2.662636e-05
8.840000e+02	9.360000e+02	2.286454e-03	2.520600e-05	2.520600e-05
9.360000e+02	9.880000e+02	2.018733e-03	2.370008e-05	2.370008e-05
9.880000e+02	1.040000e+03	1.744636e-03	2.208084e-05	2.208084e-05
1.040000e+03	1.092000e+03	1.482323e-03	2.032481e-05	2.032481e-05
1.092000e+03	1.144000e+03	1.211772e-03	1.850382e-05	1.850382e-05
1.144000e+03	1.196000e+03	1.016142e-03	1.689023e-05	1.689023e-05
1.196000e+03	1.248000e+03	8.406460e-04	1.528854e-05	1.528854e-05
1.248000e+03	1.300000e+03	7.000694e-04	1.375191e-05	1.375191e-05
1.300000e+03	1.352000e+03	5.551983e-04	1.227361e-05	1.227361e-05
1.352000e+03	1.404000e+03	4.184863e-04	1.084807e-05	1.084807e-05
1.404000e+03	1.456000e+03	3.250927e-04	9.663210e-06	9.663210e-06
1.456000e+03	1.508000e+03	2.694706e-04	8.598991e-06	8.598991e-06
1.508000e+03	1.560000e+03	2.014556e-04	7.503961e-06	7.503961e-06
1.560000e+03	1.612000e+03	1.612422e-04	6.646978e-06	6.646978e-06
1.612000e+03	1.664000e+03	1.200528e-04	5.862021e-06	5.862021e-06
1.664000e+03	1.716000e+03	9.396583e-05	5.152247e-06	5.152247e-06
1.716000e+03	1.768000e+03	7.638004e-05	4.560444e-06	4.560444e-06
1.768000e+03	1.820000e+03	5.819354e-05	4.115955e-06	4.115955e-06
1.820000e+03	1.872000e+03	4.693219e-05	3.574623e-06	3.574623e-06
1.872000e+03	1.924000e+03	3.913240e-05	3.060570e-06	3.060570e-06
1.924000e+03	1.976000e+03	3.224294e-05	2.801957e-06	2.801957e-06
