# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second jet
XLabel=$\eta(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
DrawOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
LegendOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2 //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_eta_2[isr_x2xg_murfac=2.0]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.464833e+00	2.648711e-01	2.648711e-01
-4.800000e+00	-4.600000e+00	1.260860e+00	2.894304e-01	2.894304e-01
-4.600000e+00	-4.400000e+00	1.918376e+00	3.909531e-01	3.909531e-01
-4.400000e+00	-4.200000e+00	2.507249e+00	4.032584e-01	4.032584e-01
-4.200000e+00	-4.000000e+00	3.245532e+00	4.516740e-01	4.516740e-01
-4.000000e+00	-3.800000e+00	3.059547e+00	4.965420e-01	4.965420e-01
-3.800000e+00	-3.600000e+00	3.728192e+00	5.324113e-01	5.324113e-01
-3.600000e+00	-3.400000e+00	4.387172e+00	5.988823e-01	5.988823e-01
-3.400000e+00	-3.200000e+00	7.202935e+00	6.565663e-01	6.565663e-01
-3.200000e+00	-3.000000e+00	7.467930e+00	6.920632e-01	6.920632e-01
-3.000000e+00	-2.800000e+00	8.831340e+00	7.611751e-01	7.611751e-01
-2.800000e+00	-2.600000e+00	8.354570e+00	7.308789e-01	7.308789e-01
-2.600000e+00	-2.400000e+00	9.769380e+00	7.942445e-01	7.942445e-01
-2.400000e+00	-2.200000e+00	1.044836e+01	8.159608e-01	8.159608e-01
-2.200000e+00	-2.000000e+00	1.243216e+01	8.596232e-01	8.596232e-01
-2.000000e+00	-1.800000e+00	1.274092e+01	9.238100e-01	9.238100e-01
-1.800000e+00	-1.600000e+00	1.146016e+01	9.182422e-01	9.182422e-01
-1.600000e+00	-1.400000e+00	1.340045e+01	9.271875e-01	9.271875e-01
-1.400000e+00	-1.200000e+00	1.362007e+01	9.426046e-01	9.426046e-01
-1.200000e+00	-1.000000e+00	1.493972e+01	9.612463e-01	9.612463e-01
