# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of third jet
XLabel=$m(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~3})$ [pb/GeV]
DrawOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3 //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3 //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3
LegendOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3 //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3 //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_mass_3[isr_x2xg_murfac=2.0]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	6.519921e-02	4.610673e-02	4.610673e-02
1.149757e+00	1.321941e+00	2.801281e-02	2.801280e-02	2.801280e-02
1.321941e+00	1.519911e+00	-1.552356e-04	8.682451e-02	8.682451e-02
1.519911e+00	1.747528e+00	-6.224241e-02	8.252999e-02	8.252999e-02
1.747528e+00	2.009233e+00	2.059677e-01	8.845704e-02	8.845704e-02
2.009233e+00	2.310130e+00	3.126314e-01	1.103204e-01	1.103204e-01
2.310130e+00	2.656088e+00	3.531070e-01	1.218540e-01	1.218540e-01
2.656088e+00	3.053856e+00	8.421384e-01	1.549373e-01	1.549373e-01
3.053856e+00	3.511192e+00	1.123702e+00	1.774220e-01	1.774220e-01
3.511192e+00	4.037017e+00	1.952876e+00	1.921873e-01	1.921873e-01
4.037017e+00	4.641589e+00	2.541747e+00	2.214403e-01	2.214403e-01
4.641589e+00	5.336699e+00	2.714962e+00	2.181393e-01	2.181393e-01
5.336699e+00	6.135907e+00	2.701994e+00	2.102670e-01	2.102670e-01
6.135907e+00	7.054802e+00	2.550408e+00	1.876682e-01	1.876682e-01
7.054802e+00	8.111308e+00	1.659144e+00	1.380017e-01	1.380017e-01
8.111308e+00	9.326033e+00	7.686153e-01	9.509373e-02	9.509373e-02
9.326033e+00	1.072267e+01	2.933472e-01	5.685679e-02	5.685679e-02
1.072267e+01	1.232847e+01	9.193779e-02	2.795640e-02	2.795640e-02
1.232847e+01	1.417474e+01	3.144779e-02	1.266669e-02	1.266669e-02
1.417474e+01	1.629751e+01	6.996896e-03	6.096269e-03	6.096269e-03
1.629751e+01	1.873817e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.873817e+01	2.154435e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.154435e+01	2.477076e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.477076e+01	2.848036e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.848036e+01	3.274549e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.274549e+01	3.764936e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.764936e+01	4.328761e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.328761e+01	4.977024e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.977024e+01	5.722368e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.722368e+01	6.579332e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.579332e+01	7.564633e+01	0.000000e+00	0.000000e+00	0.000000e+00
