# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of second jet
XLabel=$y(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~2})$ [pb]
DrawOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2 //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2 //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2
LegendOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2 //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2 //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_y_2[isr_x2xg_murfac=2.0]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.318301e+00	2.580262e-01	2.580262e-01
-4.800000e+00	-4.600000e+00	1.261932e+00	2.853388e-01	2.853388e-01
-4.600000e+00	-4.400000e+00	1.901615e+00	3.689862e-01	3.689862e-01
-4.400000e+00	-4.200000e+00	2.602655e+00	3.964803e-01	3.964803e-01
-4.200000e+00	-4.000000e+00	2.728996e+00	4.510238e-01	4.510238e-01
-4.000000e+00	-3.800000e+00	3.273993e+00	4.875751e-01	4.875751e-01
-3.800000e+00	-3.600000e+00	3.541258e+00	5.374333e-01	5.374333e-01
-3.600000e+00	-3.400000e+00	4.408012e+00	5.755925e-01	5.755925e-01
-3.400000e+00	-3.200000e+00	6.871700e+00	6.547543e-01	6.547543e-01
-3.200000e+00	-3.000000e+00	7.499365e+00	6.794001e-01	6.794001e-01
-3.000000e+00	-2.800000e+00	8.402885e+00	7.631936e-01	7.631936e-01
-2.800000e+00	-2.600000e+00	8.776825e+00	7.198354e-01	7.198354e-01
-2.600000e+00	-2.400000e+00	9.038765e+00	8.053502e-01	8.053502e-01
-2.400000e+00	-2.200000e+00	1.048780e+01	7.933202e-01	7.933202e-01
-2.200000e+00	-2.000000e+00	1.228159e+01	8.609890e-01	8.609890e-01
-2.000000e+00	-1.800000e+00	1.302604e+01	9.146863e-01	9.146863e-01
-1.800000e+00	-1.600000e+00	1.125626e+01	9.306461e-01	9.306461e-01
-1.600000e+00	-1.400000e+00	1.302715e+01	9.014451e-01	9.014451e-01
-1.400000e+00	-1.200000e+00	1.385283e+01	9.696515e-01	9.696515e-01
-1.200000e+00	-1.000000e+00	1.556239e+01	9.673027e-01	9.673027e-01
-1.000000e+00	-8.000000e-01	1.657706e+01	9.669748e-01	9.669748e-01
-8.000000e-01	-6.000000e-01	1.586709e+01	1.009975e+00	1.009975e+00
