# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~3})$ [pb]
DrawOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13 //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13 //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13
LegendOnly=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13 //u/user/choij/tmp_0x7f1f75d231c0/MG299.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13 //u/user/choij/tmp_0x7f1f75d231c0/MG331.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13[isr_x2xg_murfac=2.0]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	3.524626e+00	5.603753e-01	5.603753e-01
1.256637e-01	2.513274e-01	3.797518e+00	6.208252e-01	6.208252e-01
2.513274e-01	3.769911e-01	3.142587e+00	6.265220e-01	6.265220e-01
3.769911e-01	5.026548e-01	5.139117e+00	6.783208e-01	6.783208e-01
5.026548e-01	6.283185e-01	4.127431e+00	6.609941e-01	6.609941e-01
6.283185e-01	7.539822e-01	3.710251e+00	5.876606e-01	5.876606e-01
7.539822e-01	8.796459e-01	2.712287e+00	5.571228e-01	5.571228e-01
8.796459e-01	1.005310e+00	3.646796e+00	6.081255e-01	6.081255e-01
1.005310e+00	1.130973e+00	3.750321e+00	6.192934e-01	6.192934e-01
1.130973e+00	1.256637e+00	2.913706e+00	5.541290e-01	5.541290e-01
1.256637e+00	1.382301e+00	3.116889e+00	5.636163e-01	5.636163e-01
1.382301e+00	1.507964e+00	3.955401e+00	6.242784e-01	6.242784e-01
1.507964e+00	1.633628e+00	3.930103e+00	6.246545e-01	6.246545e-01
1.633628e+00	1.759292e+00	4.145424e+00	6.326140e-01	6.326140e-01
1.759292e+00	1.884956e+00	4.919777e+00	6.351409e-01	6.351409e-01
1.884956e+00	2.010619e+00	3.384819e+00	6.197947e-01	6.197947e-01
2.010619e+00	2.136283e+00	4.085363e+00	6.418257e-01	6.418257e-01
2.136283e+00	2.261947e+00	4.106315e+00	6.534396e-01	6.534396e-01
2.261947e+00	2.387610e+00	4.668351e+00	6.582655e-01	6.582655e-01
2.387610e+00	2.513274e+00	4.380355e+00	7.396395e-01	7.396395e-01
2.513274e+00	2.638938e+00	6.248098e+00	7.312274e-01	7.312274e-01
2.638938e+00	2.764602e+00	5.699646e+00	7.036974e-01	7.036974e-01
2.764602e+00	2.890265e+00	5.308423e+00	7.496753e-01	7.496753e-01
2.890265e+00	3.015929e+00	4.609098e+00	7.346112e-01	7.346112e-01
3.015929e+00	3.141593e+00	7.725025e+00	8.181919e-01	8.181919e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13[isr_x2xg_murfac=0.5]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	3.500015e+00	5.564932e-01	5.564932e-01
1.256637e-01	2.513274e-01	3.805182e+00	6.205073e-01	6.205073e-01
2.513274e-01	3.769911e-01	3.168859e+00	6.294616e-01	6.294616e-01
3.769911e-01	5.026548e-01	5.174691e+00	6.796713e-01	6.796713e-01
5.026548e-01	6.283185e-01	4.126321e+00	6.604060e-01	6.604060e-01
6.283185e-01	7.539822e-01	3.775028e+00	5.926516e-01	5.926516e-01
7.539822e-01	8.796459e-01	2.708301e+00	5.569167e-01	5.569167e-01
8.796459e-01	1.005310e+00	3.712538e+00	6.095760e-01	6.095760e-01
1.005310e+00	1.130973e+00	3.784982e+00	6.223832e-01	6.223832e-01
1.130973e+00	1.256637e+00	2.934879e+00	5.545280e-01	5.545280e-01
1.256637e+00	1.382301e+00	3.106837e+00	5.651495e-01	5.651495e-01
1.382301e+00	1.507964e+00	3.979176e+00	6.288019e-01	6.288019e-01
1.507964e+00	1.633628e+00	3.958594e+00	6.237999e-01	6.237999e-01
1.633628e+00	1.759292e+00	4.173401e+00	6.334558e-01	6.334558e-01
1.759292e+00	1.884956e+00	4.940664e+00	6.380126e-01	6.380126e-01
1.884956e+00	2.010619e+00	3.398316e+00	6.205980e-01	6.205980e-01
2.010619e+00	2.136283e+00	4.094113e+00	6.420045e-01	6.420045e-01
2.136283e+00	2.261947e+00	4.143095e+00	6.570046e-01	6.570046e-01
2.261947e+00	2.387610e+00	4.635051e+00	6.587675e-01	6.587675e-01
2.387610e+00	2.513274e+00	4.356655e+00	7.374194e-01	7.374194e-01
2.513274e+00	2.638938e+00	6.281949e+00	7.323806e-01	7.323806e-01
2.638938e+00	2.764602e+00	5.721837e+00	7.056076e-01	7.056076e-01
2.764602e+00	2.890265e+00	5.350095e+00	7.512343e-01	7.512343e-01
2.890265e+00	3.015929e+00	4.607242e+00	7.375196e-01	7.375196e-01
3.015929e+00	3.141593e+00	7.734038e+00	8.176155e-01	8.176155e-01
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13[isr_x2xg_cns=_2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f1f75d231c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_13[isr_x2xg_cns=_2.0]
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
