# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of photon $p_\perp$
XLabel=$\sum{p_\perp^\gamma}$ [GeV]
YLabel=$1/\sigma \, \mathrm{d}\sigma/\mathrm{d}\sum{p_\perp^\gamma}$ [GeV$^{-1}$]
DrawOnly=//u/user/choij/tmp_0x7f930f83f1c0/DY0j.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma //u/user/choij/tmp_0x7f930f83f1c0/DY1j.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma //u/user/choij/tmp_0x7f930f83f1c0/DY2j.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma //u/user/choij/tmp_0x7f930f83f1c0/DYincl.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma
LegendOnly=//u/user/choij/tmp_0x7f930f83f1c0/DY0j.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma //u/user/choij/tmp_0x7f930f83f1c0/DY1j.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma //u/user/choij/tmp_0x7f930f83f1c0/DY2j.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma //u/user/choij/tmp_0x7f930f83f1c0/DYincl.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f930f83f1c0/DY0j.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma
LineColor=red
LineStyle=solid
Path=//u/user/choij/tmp_0x7f930f83f1c0/DY0j.yoda.gz/MC_PHOTONS:ENERGY=13000/sumPtgamma
ScaledBy=2.08585456832570561e-10
Title=DY0j
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.590305e-03	3.905543e-05	3.905543e-05
2.000000e+00	4.000000e+00	4.529822e-03	6.585657e-05	6.585657e-05
4.000000e+00	6.000000e+00	5.635660e-03	7.423818e-05	7.423818e-05
6.000000e+00	8.000000e+00	7.035825e-03	8.257111e-05	8.257111e-05
8.000000e+00	1.000000e+01	8.118845e-03	8.856054e-05	8.856054e-05
1.000000e+01	1.200000e+01	9.065730e-03	9.379128e-05	9.379128e-05
1.200000e+01	1.400000e+01	9.844530e-03	9.722524e-05	9.722524e-05
1.400000e+01	1.600000e+01	1.039973e-02	1.005132e-04	1.005132e-04
1.600000e+01	1.800000e+01	1.106292e-02	1.031769e-04	1.031769e-04
1.800000e+01	2.000000e+01	1.136563e-02	1.045691e-04	1.045691e-04
2.000000e+01	2.200000e+01	1.175426e-02	1.063326e-04	1.063326e-04
2.200000e+01	2.400000e+01	1.231783e-02	1.084894e-04	1.084894e-04
2.400000e+01	2.600000e+01	1.242583e-02	1.093391e-04	1.093391e-04
2.600000e+01	2.800000e+01	1.287303e-02	1.107479e-04	1.107479e-04
2.800000e+01	3.000000e+01	1.295973e-02	1.111077e-04	1.111077e-04
3.000000e+01	3.200000e+01	1.314835e-02	1.121337e-04	1.121337e-04
3.200000e+01	3.400000e+01	1.312249e-02	1.119634e-04	1.119634e-04
3.400000e+01	3.600000e+01	1.334685e-02	1.129125e-04	1.129125e-04
3.600000e+01	3.800000e+01	1.350656e-02	1.131786e-04	1.131786e-04
3.800000e+01	4.000000e+01	1.376363e-02	1.146310e-04	1.146310e-04
4.000000e+01	4.200000e+01	1.340770e-02	1.131275e-04	1.131275e-04
4.200000e+01	4.400000e+01	1.351646e-02	1.134007e-04	1.134007e-04
4.400000e+01	4.600000e+01	1.372561e-02	1.142620e-04	1.142620e-04
4.600000e+01	4.800000e+01	1.349287e-02	1.135358e-04	1.135358e-04
4.800000e+01	5.000000e+01	1.334305e-02	1.130072e-04	1.130072e-04
5.000000e+01	5.200000e+01	1.337727e-02	1.125944e-04	1.125944e-04
5.200000e+01	5.400000e+01	1.313009e-02	1.114922e-04	1.114922e-04
5.400000e+01	5.600000e+01	1.299244e-02	1.105309e-04	1.105309e-04
5.600000e+01	5.800000e+01	1.263346e-02	1.094211e-04	1.094211e-04
5.800000e+01	6.000000e+01	1.226231e-02	1.074743e-04	1.074743e-04
6.000000e+01	6.200000e+01	1.161584e-02	1.055464e-04	1.055464e-04
