# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~2})$ [pb]
DrawOnly=//u/user/choij/tmp_0x7f930f83f1c0/DY0j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12 //u/user/choij/tmp_0x7f930f83f1c0/DY1j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12 //u/user/choij/tmp_0x7f930f83f1c0/DY2j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12 //u/user/choij/tmp_0x7f930f83f1c0/DYincl.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
LegendOnly=//u/user/choij/tmp_0x7f930f83f1c0/DY0j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12 //u/user/choij/tmp_0x7f930f83f1c0/DY1j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12 //u/user/choij/tmp_0x7f930f83f1c0/DY2j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12 //u/user/choij/tmp_0x7f930f83f1c0/DYincl.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f930f83f1c0/DY0j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
LineColor=red
LineStyle=solid
Path=//u/user/choij/tmp_0x7f930f83f1c0/DY0j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
ScaledBy=1.06881834499809925e-06
Title=DY0j
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.984798e+00	3.721497e-01	3.721497e-01
1.256637e-01	2.513274e-01	1.488599e+00	3.162665e-01	3.162665e-01
2.513274e-01	3.769911e-01	1.798724e+00	3.453403e-01	3.453403e-01
3.769911e-01	5.026548e-01	1.860748e+00	3.616645e-01	3.616645e-01
5.026548e-01	6.283185e-01	1.302524e+00	2.842341e-01	2.842341e-01
6.283185e-01	7.539822e-01	2.046823e+00	3.971535e-01	3.971535e-01
7.539822e-01	8.796459e-01	1.798724e+00	3.453403e-01	3.453403e-01
8.796459e-01	1.005310e+00	1.984792e+00	3.721486e-01	3.721486e-01
1.005310e+00	1.130973e+00	3.101264e+00	4.472708e-01	4.472708e-01
1.130973e+00	1.256637e+00	2.605042e+00	4.297204e-01	4.297204e-01
1.256637e+00	1.382301e+00	2.729091e+00	4.385816e-01	4.385816e-01
1.382301e+00	1.507964e+00	4.155695e+00	5.226345e-01	5.226345e-01
1.507964e+00	1.633628e+00	4.217687e+00	5.407197e-01	5.407197e-01
1.633628e+00	1.759292e+00	3.411364e+00	5.076949e-01	5.076949e-01
1.759292e+00	1.884956e+00	3.287315e+00	4.682770e-01	4.682770e-01
1.884956e+00	2.010619e+00	4.962024e+00	5.884236e-01	5.884236e-01
2.010619e+00	2.136283e+00	5.582232e+00	5.949210e-01	5.949210e-01
2.136283e+00	2.261947e+00	4.961984e+00	5.818443e-01	5.818443e-01
2.261947e+00	2.387610e+00	6.884808e+00	6.651472e-01	6.651472e-01
2.387610e+00	2.513274e+00	6.760704e+00	6.651420e-01	6.651420e-01
2.513274e+00	2.638938e+00	7.815125e+00	7.697076e-01	7.697076e-01
2.638938e+00	2.764602e+00	9.923972e+00	8.181632e-01	8.181632e-01
2.764602e+00	2.890265e+00	1.302531e+01	9.885205e-01	9.885205e-01
2.890265e+00	3.015929e+00	1.780112e+01	1.171924e+00	1.171924e+00
3.015929e+00	3.141593e+00	2.220488e+01	1.295116e+00	1.295116e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f930f83f1c0/DY1j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
LineColor=blue
LineStyle=solid
Path=//u/user/choij/tmp_0x7f930f83f1c0/DY1j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
Title=DY1j
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	8.974294e+00	1.159630e+00	1.159630e+00
1.256637e-01	2.513274e-01	7.080192e+00	1.126980e+00	1.126980e+00
2.513274e-01	3.769911e-01	9.797810e+00	1.224913e+00	1.224913e+00
3.769911e-01	5.026548e-01	1.180136e+01	1.294139e+00	1.294139e+00
5.026548e-01	6.283185e-01	1.194208e+01	1.341525e+00	1.341525e+00
6.283185e-01	7.539822e-01	1.043421e+01	1.304503e+00	1.304503e+00
7.539822e-01	8.796459e-01	9.953129e+00	1.174644e+00	1.174644e+00
8.796459e-01	1.005310e+00	8.119996e+00	1.141278e+00	1.141278e+00
1.005310e+00	1.130973e+00	9.780150e+00	1.128549e+00	1.128549e+00
1.130973e+00	1.256637e+00	1.161370e+01	1.229441e+00	1.229441e+00
1.256637e+00	1.382301e+00	8.165346e+00	1.172378e+00	1.172378e+00
1.382301e+00	1.507964e+00	1.293144e+01	1.290882e+00	1.290882e+00
1.507964e+00	1.633628e+00	1.175079e+01	1.274862e+00	1.274862e+00
1.633628e+00	1.759292e+00	1.366259e+01	1.310460e+00	1.310460e+00
1.759292e+00	1.884956e+00	1.307257e+01	1.327882e+00	1.327882e+00
1.884956e+00	2.010619e+00	1.560164e+01	1.407382e+00	1.407382e+00
2.010619e+00	2.136283e+00	1.684306e+01	1.456391e+00	1.456391e+00
2.136283e+00	2.261947e+00	1.731006e+01	1.442761e+00	1.442761e+00
2.261947e+00	2.387610e+00	1.946597e+01	1.443237e+00	1.443237e+00
2.387610e+00	2.513274e+00	2.050667e+01	1.506608e+00	1.506608e+00
2.513274e+00	2.638938e+00	2.303665e+01	1.580604e+00	1.580604e+00
2.638938e+00	2.764602e+00	2.553380e+01	1.647413e+00	1.647413e+00
2.764602e+00	2.890265e+00	2.902357e+01	1.722644e+00	1.722644e+00
2.890265e+00	3.015929e+00	3.007153e+01	1.787409e+00	1.787409e+00
3.015929e+00	3.141593e+00	3.727108e+01	1.857552e+00	1.857552e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f930f83f1c0/DY2j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
LineColor=green
LineStyle=solid
Path=//u/user/choij/tmp_0x7f930f83f1c0/DY2j.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
Title=DY2j
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.329482e+01	1.621629e+00	1.621629e+00
1.256637e-01	2.513274e-01	1.294837e+01	1.608816e+00	1.608816e+00
2.513274e-01	3.769911e-01	1.502113e+01	1.715625e+00	1.715625e+00
3.769911e-01	5.026548e-01	1.741159e+01	1.742006e+00	1.742006e+00
5.026548e-01	6.283185e-01	1.903548e+01	1.783331e+00	1.783331e+00
6.283185e-01	7.539822e-01	1.868834e+01	1.838942e+00	1.838942e+00
7.539822e-01	8.796459e-01	1.614373e+01	1.758703e+00	1.758703e+00
8.796459e-01	1.005310e+00	1.701896e+01	1.769799e+00	1.769799e+00
1.005310e+00	1.130973e+00	2.003339e+01	1.836743e+00	1.836743e+00
1.130973e+00	1.256637e+00	2.109304e+01	1.945802e+00	1.945802e+00
1.256637e+00	1.382301e+00	1.912785e+01	1.902624e+00	1.902624e+00
1.382301e+00	1.507964e+00	2.266880e+01	1.991478e+00	1.991478e+00
1.507964e+00	1.633628e+00	2.277777e+01	2.091398e+00	2.091398e+00
1.633628e+00	1.759292e+00	3.094465e+01	2.187732e+00	2.187732e+00
1.759292e+00	1.884956e+00	2.919390e+01	2.287212e+00	2.287212e+00
1.884956e+00	2.010619e+00	3.069132e+01	2.404479e+00	2.404479e+00
2.010619e+00	2.136283e+00	3.934843e+01	2.542942e+00	2.542942e+00
2.136283e+00	2.261947e+00	4.013785e+01	2.624618e+00	2.624618e+00
2.261947e+00	2.387610e+00	4.790421e+01	2.773562e+00	2.773562e+00
2.387610e+00	2.513274e+00	4.578490e+01	2.925286e+00	2.925286e+00
2.513274e+00	2.638938e+00	6.050260e+01	3.074937e+00	3.074937e+00
2.638938e+00	2.764602e+00	7.118939e+01	3.288532e+00	3.288532e+00
2.764602e+00	2.890265e+00	7.429261e+01	3.431477e+00	3.431477e+00
2.890265e+00	3.015929e+00	7.862896e+01	3.624563e+00	3.624563e+00
3.015929e+00	3.141593e+00	8.840790e+01	3.657389e+00	3.657389e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f930f83f1c0/DYincl.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
LineColor=orange
LineStyle=solid
Path=//u/user/choij/tmp_0x7f930f83f1c0/DYincl.yoda.gz/MC_ZJETS:ENERGY=13000/jets_dphi_12
ScaledBy=9.92891918516542888e-07
Title=DYincl
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.351289e+01	2.710165e+00	2.710165e+00
1.256637e-01	2.513274e-01	2.026933e+01	2.893391e+00	2.893391e+00
2.513274e-01	3.769911e-01	1.589752e+01	2.767835e+00	2.767835e+00
3.769911e-01	5.026548e-01	2.384627e+01	3.065686e+00	3.065686e+00
5.026548e-01	6.283185e-01	1.828215e+01	3.026797e+00	3.026797e+00
6.283185e-01	7.539822e-01	2.046805e+01	2.954169e+00	2.954169e+00
7.539822e-01	8.796459e-01	1.569880e+01	2.817327e+00	2.817327e+00
8.796459e-01	1.005310e+00	2.007055e+01	3.059229e+00	3.059229e+00
1.005310e+00	1.130973e+00	1.728865e+01	3.160836e+00	3.160836e+00
1.130973e+00	1.256637e+00	1.708979e+01	3.301359e+00	3.301359e+00
1.256637e+00	1.382301e+00	1.788466e+01	3.277349e+00	3.277349e+00
1.382301e+00	1.507964e+00	2.066689e+01	3.498828e+00	3.498828e+00
1.507964e+00	1.633628e+00	2.265390e+01	3.576932e+00	3.576932e+00
1.633628e+00	1.759292e+00	2.782059e+01	3.642570e+00	3.642570e+00
1.759292e+00	1.884956e+00	2.801931e+01	4.018832e+00	4.018832e+00
1.884956e+00	2.010619e+00	3.378241e+01	4.111152e+00	4.111152e+00
2.010619e+00	2.136283e+00	3.338470e+01	4.371806e+00	4.371806e+00
2.136283e+00	2.261947e+00	4.391678e+01	4.500874e+00	4.500874e+00
2.261947e+00	2.387610e+00	4.908385e+01	4.991790e+00	4.991790e+00
2.387610e+00	2.513274e+00	4.610269e+01	5.227466e+00	5.227466e+00
2.513274e+00	2.638938e+00	6.219888e+01	5.328472e+00	5.328472e+00
2.638938e+00	2.764602e+00	5.583989e+01	5.680012e+00	5.680012e+00
2.764602e+00	2.890265e+00	7.134050e+01	5.997922e+00	5.997922e+00
2.890265e+00	3.015929e+00	7.650661e+01	6.217697e+00	6.217697e+00
3.015929e+00	3.141593e+00	9.001950e+01	6.423864e+00	6.423864e+00
# END HISTO1D

